label_id	Cardiovascular system	Midgut	Motile cilia	Central nervous system	Stem cells	Somatic musculature	Developing neurons	Epidermis	Gland cells	Heme/chitin	Anterior nervous system	Glia	Macrophage	Enteric nervous system	Adult eye	zero	autofluorescence	most probable cluster
1.0	3.131488291253782e-14	7.500062397838395e-14	1.0028110931014254e-07	1.2083472215437816e-13	2.163663090360907e-08	5.158105985484978e-20	2.507823207006417e-10	0.9999940266580443	4.865990709044024e-13	5.851165734670461e-06	3.3064065587588416e-17	3.3906159109324965e-15	6.981447110960991e-12	5.937344075995078e-18	6.172797144727789e-21	4.367115765616434e-22	0.0	Epidermis
2.0	5.690153754783846e-12	1.4115111802091632e-11	9.223021631158138e-07	9.960019641553543e-10	0.0011987211360236457	7.414507459238127e-17	0.0006556620497965561	0.980662613111584	1.920764262236082e-08	0.01748206108802682	1.027565451883087e-12	3.2317343803627697e-13	8.505874133244826e-11	2.5449114161893474e-12	1.4912883324840819e-15	3.9257355105993e-20	0.0	Epidermis
3.0	9.882451881633171e-12	2.300618799982185e-11	0.0011823557559567665	4.038358140941471e-07	0.0006375880569836262	2.3869550868424453e-16	0.0016859978190626836	0.993423506322548	1.91324264230202e-07	0.0030699483952463923	1.4813065515885203e-12	2.3841553352094048e-11	3.233165157832257e-10	8.108595687273006e-09	2.938734378907834e-16	2.3077582078311147e-24	0.0	Epidermis
4.0	6.717936753571024e-06	8.076710589127494e-06	0.00047790524691323914	5.8374410085564125e-06	0.01964713225401038	1.418856228727266e-10	0.0008352293088042561	0.930273629689428	2.1182860313023344e-05	0.04846231984019522	2.0577693390453914e-08	1.195432688604675e-08	0.0002618894172641298	4.5291800489123274e-08	1.3487651175149828e-10	1.194137756497877e-09	0.0	Epidermis
5.0	3.617292013705311e-25	2.437670776613078e-27	0.998177126894056	6.281387176538476e-07	1.4888194041357892e-10	2.0931556906467684e-28	0.001822228653028432	3.9926901852172556e-10	5.281691065541936e-16	1.5761285670633207e-08	1.1830871034915288e-17	2.0506790861004752e-20	8.191293159392716e-22	4.7606018197541215e-12	1.948719655170238e-23	3.963250781967661e-55	0.0	Motile cilia
6.0	5.93015907988209e-17	1.535939687688657e-17	0.9999054411018073	1.3001742231439027e-06	4.639553632843483e-08	2.343717923074862e-22	9.302077909936273e-05	2.4478010453346843e-12	1.8993126158715324e-11	1.9152774430800333e-07	6.560524782530544e-17	4.2709952444139036e-18	9.477051584819057e-16	1.4778956915895193e-13	1.156350267491995e-19	1.8453457853020752e-31	0.0	Motile cilia
7.0	4.3129086814485474e-06	6.587954604132711e-06	0.11894426762237725	0.19523163073069494	0.015654458449530805	3.9696094707052665e-11	0.6611113697061088	0.004945857640550425	1.1118146906667501e-05	0.0033524498334626613	0.000566465665104803	3.9476412520534435e-05	7.138570584351047e-05	6.061145010725402e-05	7.729789024109798e-09	4.021674216439272e-12	0.0	Developing neurons
8.0	8.310829644086533e-17	1.3421436393303249e-16	2.4420153661456466e-06	2.736756539229456e-05	1.1008240905147026e-06	2.4773842881784797e-21	0.9967545869214446	1.0022862507871225e-06	1.9238439899521796e-11	0.0032135002765216964	3.0732805221555362e-12	7.932830619633918e-16	3.406568161204458e-15	8.86057362191982e-11	1.213289565183451e-14	3.8225904531600175e-28	0.0	Developing neurons
9.0	3.747045117164847e-26	2.482531351623246e-25	0.9997893736267972	9.114959290679107e-09	1.522963566997733e-12	1.0541607714062764e-29	0.0002106171885560369	2.9050234924815927e-12	5.673446194492786e-17	4.1954719096921145e-11	5.0695964328442436e-17	2.8732302283481895e-19	2.317404111576286e-22	2.3305211130574253e-11	3.53368942281302e-24	2.6608362827898933e-50	0.0	Motile cilia
10.0	7.749854054695914e-21	3.1943440476657284e-24	0.9986446825081106	4.812644586648967e-05	2.550548110341024e-10	8.620966329743217e-24	0.0013071905769975187	3.97085557633814e-15	3.0627171432608736e-15	2.1367099254359193e-10	2.2532335570554264e-18	8.228086051680616e-22	1.103472200053226e-19	2.9273997945301854e-13	1.2334130387856685e-22	9.81583627489169e-44	0.0	Motile cilia
11.0	1.1317078282390504e-22	5.015035140394956e-25	4.711356128911577e-05	0.07341053376332524	1.867386809050559e-15	7.603600134662655e-27	0.9265249686422877	1.536037490679709e-17	1.442641286634223e-17	3.251916558910886e-16	1.7384033061223496e-05	3.411860087707045e-23	1.7468640852021268e-25	3.457686854148673e-14	4.197576240237946e-26	5.743793341841344e-43	0.0	Developing neurons
12.0	4.458222695306896e-22	5.936500807036243e-26	0.9997199309568853	1.5792070364355758e-05	7.43086946414712e-11	3.6456854562284364e-25	0.0002642768392690319	1.277659597679659e-15	1.977725745869651e-18	5.7874869517702834e-11	2.643154799226391e-18	9.658379989209138e-24	2.6780682463316643e-22	1.296724455195331e-12	3.0149493221442886e-24	2.1938919766302787e-48	0.0	Motile cilia
13.0	4.2949949521957826e-14	4.1775619587282267e-19	0.09189304791027664	0.0001455482184426559	3.2507403179795907e-06	3.1742473638765123e-19	0.9059867836355046	7.245237428626505e-10	1.809288488336463e-10	0.0019713685894077147	3.9881047739775e-15	6.940728879762926e-20	6.523365692762515e-16	5.504255113272615e-13	2.956475899852347e-20	1.2375876605904943e-42	0.0	Developing neurons
14.0	1.6317514255217442e-14	1.2530252082396858e-13	5.1561685084978286e-05	0.995466680546849	1.8080236174800909e-10	1.784700824284437e-18	0.004435260308254904	3.1129538336724204e-13	4.6426488151948615e-09	3.588189003367525e-12	1.4941069048491564e-05	4.871949331296199e-11	1.2915672595574339e-14	3.15515145163214e-05	2.1571162595455005e-14	6.5429426005026365e-21	0.0	Central nervous system
15.0	6.313164508787834e-21	1.209005951750147e-24	0.00482784639969152	0.007749531922634879	4.759157229507447e-14	5.310392045253157e-25	0.9874226215913353	1.4487254034281653e-16	5.260971931631819e-16	4.109707996703046e-13	8.587619184928033e-11	2.3399631558827906e-20	5.307701275105611e-23	2.7494133504570408e-15	4.2680697119248543e-23	2.3287703785499393e-40	0.0	Developing neurons
16.0	4.86172306635385e-15	4.123844524125245e-16	0.9972751242172668	0.0008249176069986195	1.7865799050063618e-07	1.896380187237225e-20	0.0018996641659974306	9.174492442317556e-11	7.301844155688904e-10	5.456703972788915e-08	5.9550130571654194e-08	5.618671089990994e-14	1.131905105334188e-15	4.125844924313609e-10	6.165164173690169e-17	4.378150221870527e-25	0.0	Motile cilia
17.0	1.061257483875765e-13	1.289129425186441e-14	0.007929730008181646	1.5423056431072436e-11	0.00039816533182339864	4.455189345012453e-18	1.3928775699742252e-07	3.441115853057783e-05	4.081321391319587e-09	0.9916375501167579	3.0291258610791835e-22	1.3431824475684735e-17	8.474081570493794e-14	1.0128800043226046e-15	3.272423845516753e-19	1.403614620454366e-37	0.0	Heme/chitin
18.0	7.533877312019337e-24	2.4122082478715208e-27	0.5511893765639767	0.021505617482547614	6.879880529227698e-14	1.6035616584605416e-29	0.4273050059526197	2.858710189034377e-17	1.0329803074107367e-17	7.449019597129751e-13	5.783488936413736e-16	3.849587637589035e-21	1.2840582237896583e-25	4.154338431147326e-14	6.665299580874674e-26	3.5517705314906272e-56	0.0	Motile cilia
19.0	2.848754074133263e-09	4.076152111797618e-17	1.5313436964299072e-05	6.334872013265524e-05	1.8129732088954771e-06	0.999891163278405	2.834917947391076e-05	2.496713890844685e-11	1.0955099377799535e-13	9.536654487350505e-09	4.431348944492712e-17	1.0602054328697292e-16	1.3294610895041266e-12	3.4677993040713397e-16	5.804578193710957e-23	5.141198412441374e-44	0.0	Somatic musculature
20.0	2.11973157218905e-22	4.509613298333483e-25	2.5962040453651346e-08	0.0018355197967753185	1.272546764953726e-13	5.179972096810966e-27	0.998164454240942	1.5589006736310282e-17	1.3297582963843082e-19	1.0491708379389218e-13	2.6419509020042046e-15	1.9475884059199516e-23	1.099417915607272e-24	7.499932581324615e-15	1.7743251498657196e-25	1.3414623399539273e-53	0.0	Developing neurons
21.0	3.176745130599156e-26	8.66934327367537e-24	0.9999708559149162	2.8798567771404283e-08	1.869416933008609e-12	3.478218248433721e-31	2.9114924837463647e-05	1.6738921895317147e-10	3.9470021979060434e-11	1.529392318507789e-10	3.395434359154142e-15	3.367644316673607e-17	4.976918277212593e-24	7.365294265672215e-15	8.654159730056147e-19	1.3207155216235025e-49	0.0	Motile cilia
22.0	1.1260677359121927e-25	2.4916909991453187e-27	0.0002966673269876868	0.052581287779086106	2.5649434188638845e-15	4.956956239793279e-29	0.9471220448929403	1.7155700471145366e-20	9.66393511219286e-19	1.4396642226987603e-14	6.019289848899276e-16	1.2656577165517058e-25	1.9610422196581595e-27	9.685038195326814e-13	6.483376673290359e-25	1.9233621836854632e-53	0.0	Developing neurons
23.0	5.387821634973333e-21	6.477351932480634e-24	0.04561444368222731	0.31201943786980585	4.852361634144245e-13	8.637522612911934e-26	0.6423661145686012	6.817719558499623e-18	2.0245303789123345e-15	9.442399471000834e-14	3.87878120538834e-09	3.0931049430458855e-18	3.9901179686566607e-25	2.6009322624420647e-15	1.9613466346684056e-22	5.957994709414582e-45	0.0	Developing neurons
24.0	1.219809892127945e-13	2.2155787395844323e-14	4.104354268737583e-05	0.9975000507731063	3.3818002543322775e-10	2.4386523519391953e-19	0.002458884799267173	2.4391820484183543e-13	2.4059881288337207e-10	1.0557663179549625e-11	9.976516930241145e-09	6.784849950112667e-12	1.7095056561652849e-15	1.0311910245849499e-08	1.2192449772585555e-15	4.898595610336355e-24	0.0	Central nervous system
25.0	4.281908908742136e-11	7.918185930006352e-09	0.2121099120031904	0.7728599189323538	5.793176020281756e-08	7.889896886168212e-16	0.013684967732442273	3.2442618446500802e-09	1.529657639525735e-06	6.475550511669898e-07	3.769341464327463e-08	2.234154679491739e-12	7.993703575679458e-11	0.0013429172066925631	1.6633867449175918e-14	1.1662405984600251e-20	0.0	Central nervous system
26.0	6.974333551022238e-07	6.333938139111541e-07	0.0005085260618725147	2.9189198348715055e-05	0.03035519756146277	4.533162946765675e-11	0.2074969403037382	0.33484576059924714	0.0002044560923885014	0.42654353600888417	1.571037124062633e-08	1.4856178406251015e-08	1.4911224162058727e-05	1.1362204638859221e-07	7.583745721062305e-09	3.050535825255376e-10	0.0	Heme/chitin
27.0	6.419101555667429e-21	2.065387540108713e-19	0.999993937549681	1.430853313029551e-07	5.576402664008985e-13	2.29393742125074e-26	5.9192240914707515e-06	2.2507998543273206e-12	5.17630297485447e-13	9.808384553873106e-13	1.609829921063658e-12	4.585056367257103e-15	8.964737963522344e-18	1.3496683489974386e-10	8.163926434412026e-15	1.0451264727138402e-34	0.0	Motile cilia
28.0	1.2350234300078497e-09	7.514832797209274e-09	0.023935985318722115	1.3634247838215e-07	0.0006492439862317443	9.33486877793536e-12	0.0041218257135950094	0.4679117734104692	0.0013987747413389481	0.5019818474585561	1.4580983887674769e-08	1.7682751485706924e-09	3.774008788756165e-07	9.23139201853841e-09	1.2864571429757128e-09	1.4303307593709709e-12	0.0	Heme/chitin
29.0	9.660147075894682e-11	7.899630922071273e-09	0.0015178720110690478	0.8579504354490891	5.0187563869549e-06	4.558991654229148e-14	0.1395672341103986	5.827423168969957e-10	1.5218858488287913e-07	0.000913417353698259	9.177332414690145e-11	3.0462065737016546e-13	1.2592975418140955e-10	4.586133373290282e-05	1.24839790816433e-14	1.6821371822570514e-23	0.0	Central nervous system
30.0	1.5963793744405635e-17	3.469405081259629e-17	0.996904546774185	0.0020108033994957492	3.2883532253148734e-07	1.9708960850487066e-22	0.0010842442014842321	1.3832201087382061e-15	7.615200281142683e-08	3.044025127717796e-10	3.1446024452607454e-10	8.111710564647756e-16	5.76586397685095e-18	1.8641696030626927e-11	2.902478692974984e-15	1.8933358560084392e-33	0.0	Motile cilia
31.0	1.6856951678330588e-12	2.8562953545036724e-10	0.009614011111200216	0.9835014753366448	4.488091275817263e-09	8.99682545386432e-18	0.006878344875941964	4.459600124035905e-11	6.810046275148996e-08	1.6338312012054649e-09	4.322297729292626e-08	8.359783804786464e-14	1.7188900033466742e-12	6.0508971352062214e-06	1.5200974854381137e-15	6.061627135848061e-20	0.0	Central nervous system
32.0	1.401505173806758e-05	1.8528716729235938e-05	0.0030769495549375103	0.00035873959207710735	0.2586667436225051	3.135300612814389e-08	0.5524758342734015	0.00026751742689045364	0.11387343756099193	0.07106592583109371	6.638931812014842e-07	8.975056908858222e-06	0.0001293954454009837	4.2415002023311273e-05	3.4507480484556405e-07	4.825443098797583e-07	0.0	Developing neurons
33.0	6.651447545436715e-30	5.255671367190996e-30	0.5765689570679573	0.42310563446404287	7.100828215250797e-19	6.973552426403647e-34	0.0003254084654940474	4.4918936240073615e-23	7.026600120433192e-18	3.1925032007874396e-17	1.574672766106743e-12	1.0029804269620648e-18	2.3975665068395239e-29	9.311346465345052e-13	1.3669624009822415e-26	1.2203371603626321e-49	0.0	Motile cilia
34.0	1.8244919276341034e-08	1.3270023533444542e-07	0.015468882666447177	1.9699172403671518e-06	0.024299152988365453	1.051591115787547e-09	0.22705458087694422	0.3415197110014369	0.007502238888058573	0.3841526636430283	3.3876055778990053e-09	3.7108524641917937e-09	6.29571559350497e-07	9.813198261460959e-09	1.5384445517828514e-09	7.31118059467679e-14	0.0	Heme/chitin
35.0	6.61662991655289e-07	1.9404884022522383e-06	0.3395235633909581	0.002971232412396749	0.06261148759810262	5.233653467868355e-10	0.30779882033298117	8.47284984687913e-05	0.2619074596566664	0.024124247572419606	5.77308617199698e-06	2.1046801177580705e-06	0.0004588350148006754	0.0005088722972529654	2.6401677588554526e-07	8.76812813203626e-09	0.0	Motile cilia
36.0	2.2311451129813123e-05	1.5818772245491975e-06	0.0006239326998294555	5.455353714989102e-05	0.000323374057342713	2.2292055779451285e-11	0.000155992559864921	0.998669364899071	9.288917969950103e-06	5.4280631427842286e-05	5.791519261169172e-06	2.5597067206862167e-08	7.950049666026563e-05	1.7302986672976373e-09	3.2605954604355077e-12	1.4974148365128068e-13	0.0	Epidermis
37.0	9.28520554352532e-12	2.4851345205463978e-11	0.9982135160778001	0.0009484654643066738	6.017409442310148e-07	9.399667452779693e-15	0.0008339084793506916	2.6176214392075557e-09	1.0046617925071432e-06	2.470255286042518e-06	6.955907635127932e-10	4.1145001898757124e-09	2.163764291049362e-09	2.368051057676077e-08	1.4386844140282123e-11	2.7738562855813655e-17	0.0	Motile cilia
38.0	1.3010666691180166e-22	1.1527975338329258e-22	0.7533968826603995	0.22702107514580136	2.264445944701705e-13	2.107067916856199e-28	0.019582042164169235	2.7317105947477225e-19	2.7937974541099868e-11	2.381708589238546e-14	1.4843629609679789e-15	2.791271779548099e-18	3.081437014990261e-23	1.4401118944932487e-12	2.5824465833271005e-21	9.081373018967504e-44	0.0	Motile cilia
39.0	5.150605895095136e-17	4.0756722270973354e-17	0.0039297889307076525	0.5657421107589915	1.1380574571318138e-10	1.366458752336517e-22	0.43032135208785277	9.829462350000403e-14	6.693607181009035e-11	5.282302480113146e-12	6.745649740163152e-06	1.8014044726652916e-14	5.699489570675846e-16	2.3865666890428572e-09	6.459238711638333e-17	7.163600936118407e-28	0.0	Central nervous system
41.0	2.913190021040328e-08	1.8051555868638413e-07	0.38928737551875137	1.412119006564395e-06	0.019449287727044535	2.0528240907236644e-10	0.020572045095979635	0.07773603712794971	0.007765914570812666	0.4851787505859613	1.5797560881104265e-09	3.846513829108492e-08	7.591132128169766e-06	1.3353757674891482e-06	8.389843526397475e-10	9.978766949987115e-12	0.0	Heme/chitin
42.0	3.636881105043133e-25	4.548788841891246e-28	0.0002218022542056717	0.9831579161534167	3.670131331081821e-17	7.025257838159967e-27	0.016620281592367014	7.664149395211195e-16	1.9485746376839578e-18	9.438930470741717e-15	4.721834493811688e-16	1.7275730251515834e-24	1.2030310471399827e-27	1.0167773839790472e-20	2.050765297169298e-30	1.1938798913304909e-52	0.0	Central nervous system
43.0	1.5934598057496089e-15	5.272321624093311e-16	8.686047226695627e-05	0.05706296336799491	4.27489929707182e-11	4.2862674022367685e-20	0.9428459817472447	2.1279799738668913e-10	2.2153588437798427e-08	5.289029140433776e-10	4.1714238334641986e-06	2.949105344833884e-15	6.005329015246485e-15	5.061089710588899e-11	7.116058015743494e-17	6.655583982869988e-27	0.0	Developing neurons
44.0	1.2872013153857512e-12	2.7858758127059542e-11	0.018218983992609794	0.945281730802113	1.0632243917654017e-08	9.328744506071481e-17	0.036423694766343655	3.952512787412039e-11	8.937716872836386e-08	1.276361320478366e-09	4.952235906392889e-05	6.380589863374491e-13	3.6649079119388484e-12	2.5966720976655776e-05	1.4501907905943547e-13	1.3196687589472062e-17	0.0	Central nervous system
45.0	2.58861987407075e-21	5.466976162703488e-21	5.333244977228982e-06	0.9884236869779708	3.4168880961330083e-14	1.043511322084929e-23	0.011570979393081025	4.691093287685521e-17	1.944400966291275e-15	8.369722285555702e-14	3.6199349935365264e-10	1.2008283104746861e-19	3.402067335989349e-22	2.1857709127832907e-11	7.139806656324051e-21	9.68962822221385e-36	0.0	Central nervous system
46.0	3.2978282827645352e-06	0.00021529112390690359	0.9711506401022608	0.00015546165172402647	0.0053186703825032705	3.1767071891803137e-10	0.0043876434313357094	0.014044160300505162	0.00013913765633497645	0.00285734682718426	4.612229495069522e-05	1.1516702883164101e-05	0.0012208928991717875	0.00044905896458764105	1.3797250667614289e-08	7.457194470934301e-07	0.0	Motile cilia
47.0	8.81428809598602e-17	5.970178560770929e-16	0.999998940639348	4.39605940256886e-09	5.6727492809858134e-08	1.5697940165909122e-21	4.95687928306686e-07	4.6092567609905465e-07	3.62980682845722e-11	3.832018047592553e-08	3.976664717228189e-13	2.7973102052085096e-09	1.0654873252772482e-11	4.586532218145258e-10	1.3621577364838068e-16	6.019219250352942e-25	0.0	Motile cilia
48.0	0.8144990518362921	0.0003796637515764503	3.7926740759427006e-05	0.0002964970928830602	0.0017450226451704793	0.18243389578997515	2.144477847404898e-05	2.0108771535452684e-05	1.3749317617011066e-06	8.364902047223816e-05	1.505006973957983e-06	9.05973184043892e-08	0.0004781623975043633	1.606638624580291e-06	6.71064578475546e-13	7.526830437111527e-15	0.0	Cardiovascular system
