label_id	max_midgut_endo	max_first_view	colour_midgut	colour_first_view
2135	4.8279319849791543e-14	6.266296504184827e-13	255-24-215-202	255-122-4-2
2136	4.998467984965069e-14	6.19423032207232e-14	255-24-215-202	255-122-4-2
2137	4.978334942743542e-16	1.6082002845511836e-14	255-24-215-202	255-122-4-2
2138	2.462526443442717e-16	2.8482163382068344e-14	255-24-215-202	255-122-4-2
2139	3.355937416664053e-16	8.026772370558985e-14	255-70-122-242	255-212-231-53
2140	4.7960987003675405e-19	1.4828151657463864e-16	255-24-215-202	255-122-4-2
2141	1.8121825471828977e-18	3.94837955426033e-17	255-24-215-202	255-26-209-210
2142	1.9314559905864675e-20	2.2882399322054526e-17	255-24-215-202	255-212-231-53
2143	6.521099058306336e-18	1.9106195653469064e-16	255-70-122-242	255-26-209-210
2144	1.3651795744782483e-16	5.061745712034958e-15	255-24-215-202	255-122-4-2
2145	1.0474231329522013e-20	8.614905250639823e-18	255-24-215-202	255-212-231-53
2146	4.249256096651095e-18	1.7107333111565017e-15	255-70-122-242	255-122-4-2
2147	7.828915577225463e-20	7.536969680609905e-17	255-24-215-202	255-26-209-210
2148	2.5778505836395936e-18	2.039619562398004e-16	255-24-215-202	255-122-4-2
2149	1.2209522258953536e-21	4.160962329163837e-17	255-70-122-242	255-122-4-2
2150	1.8848082024406827e-18	8.489852983052335e-16	255-24-215-202	255-26-209-210
2151	4.745247250314472e-23	1.810664849404026e-15	255-24-215-202	255-26-209-210
2152	2.7446089196104435e-22	7.258278291944874e-17	255-70-122-242	255-26-209-210
2153	1.0138371202444734e-24	1.852015982172279e-18	255-24-215-202	255-26-209-210
2154	7.505469335919031e-17	9.774997731501141e-15	255-70-122-242	255-26-209-210
2155	4.369753974667155e-21	3.4584028066017445e-17	255-24-215-202	255-101-252-104
2156	9.58801580406781e-26	9.55745967838906e-17	255-24-215-202	255-26-209-210
2157	7.156786217755798e-20	3.5805754240795795e-15	255-70-122-242	255-26-209-210
2158	1.7431071225083718e-23	2.968184847255144e-15	255-24-215-202	255-26-209-210
