label_id	Cardiovascular system	Midgut	Sensory Motile Cilia	Nervous System	Stem cells	Somatic musculature	Epidermis	Gland cells	Heme/chitin	Anterior nervous system	Enteric nervous system	zero	autofluorescence	most probable cluster
69	8.890869580895272e-22	2.6600235059955316e-22	2.5234271509048723e-05	0.9999747656865162	4.153227268508031e-11	4.300884728060233e-21	8.258780106308817e-15	1.9835350384862345e-18	1.2590513273812827e-17	4.3431547028808335e-13	2.9510242069107855e-19	3.601798302030697e-150	2.702410018747777e-286	Nervous System
70	1.7225954795074577e-22	2.971207978820773e-21	2.147061861095894e-05	0.9999785292045943	2.4777385046451412e-12	2.8787647662362385e-20	2.1876787001352233e-17	4.92184312130673e-20	6.990761102648852e-16	1.7431626720190403e-10	7.043251468629459e-18	2.291773268890176e-160	1.7006280314871736e-287	Nervous System
71	8.802157519176975e-07	0.00010670842307848881	0.005579288934080631	0.3805128014385878	0.528062183946731	1.4934122713093858e-07	0.08546850393541966	0.00014476590061881202	0.0001247019036641309	1.595881934065479e-08	2.0211412420481883e-12	3.512653251380336e-58	0.0	Stem cells
72	2.1603575122471537e-07	6.731059797307514e-13	0.5016096941089394	2.52883088676379e-05	0.4982583695687191	1.37039279103076e-11	0.00010445684072474995	6.185223040031961e-11	1.9750607674371724e-06	9.506430617222098e-23	1.2046366513038313e-15	3.5654454519695507e-99	0.0	Sensory Motile Cilia
73	4.685909655264023e-24	3.043908831304834e-26	0.003331038169137238	0.9966689304103524	3.142049859789674e-08	9.473035690102461e-23	2.259973705643958e-16	1.2706633868836911e-19	1.1443425932294831e-14	1.805538538103249e-27	1.7986148354229017e-20	7.97842927326698e-160	5.855394652350008e-278	Nervous System
74	8.796610515831203e-05	0.0009165044977108751	0.011609626074564257	0.22048827110981872	0.28816011982576567	1.7432417606671144e-06	0.041957756453255966	0.3027123965394661	0.13181373026359736	9.949496962938451e-07	0.0022508909392057476	2.8758864175066344e-29	0.0	Gland cells
75	0.0003247053698491772	0.0002566345247002884	0.003436140215864225	0.07599460188818678	0.18633050432350654	1.3257382922092135e-05	0.010091653539018829	0.7029348998423652	0.0143371396320259	1.9354600833262103e-06	0.006278527821477737	2.3301964661761984e-39	0.0	Gland cells
76	0.0012186418792589375	0.03712532104604508	0.0034904581554904227	0.001801092076187812	0.1585817868757387	3.087305627395855e-06	0.26729687885474784	0.11226043647712149	0.4175995679478501	5.489327021966401e-07	0.0006221166896446168	6.375958528690524e-08	0.0	Heme/chitin
77	5.731015254833021e-28	3.223034686955846e-29	4.762147190725605e-06	0.9999653432310576	2.9450048751535875e-15	1.280481556617719e-27	2.1518712614491037e-20	7.863012616717635e-26	5.7029507440567e-16	2.9894621748154567e-05	6.746534449756469e-18	3.8992842537846466e-211	2.61958337418705e-257	Nervous System
78	0.1409268729664225	0.5935930072570241	0.001301868713750392	0.0004278711543658981	0.06461845592820903	1.9792602989306808e-05	0.04155412398021445	0.06818348891469021	0.0811692002011971	0.0067738117171036475	0.0012629832794920372	0.00016852328454135845	0.0	Midgut
79	1.8102834565370105e-22	1.5693924001938682e-27	1.9008561541583793e-06	0.9999980991437825	6.146656851864419e-14	1.7662679053602456e-24	1.404308183377713e-19	1.991065196780871e-15	7.043981780437397e-21	4.862390386080891e-18	5.439709237234785e-20	4.900249975156895e-197	3.3656071816957873e-261	Nervous System
80	4.461510852570218e-24	8.110961572609553e-24	1.2778075321461496e-05	0.999987221921122	2.33682586104884e-12	1.0293608716830314e-23	1.8984939500989654e-17	1.0885691825513925e-17	5.4372868982205684e-14	1.1133089944837684e-12	5.195983744581157e-14	5.0048871878401235e-167	3.673102646091914e-285	Nervous System
81	0.0020270116669360554	0.001701822477006561	0.04783528880027693	0.031223098826941437	0.46430413515163543	8.405674554797575e-06	0.0006629912482184	0.43370861846525866	0.014669925162758462	7.0307113917423115e-06	0.003851671815021364	9.581412216201118e-45	0.0	Stem cells
82	5.676663120940511e-22	5.5573648272640015e-19	0.012080502450968759	0.987919492925893	4.409858951713282e-09	8.643261395595817e-22	3.6198173930318175e-15	2.132613622243779e-10	1.422852003046411e-14	1.3816397656879044e-20	7.31160572777955e-17	1.1024128905792693e-121	0.0	Nervous System
83	0.0015943840737045623	0.004416581596867802	0.0033057778594222436	0.0025381586992676082	0.05074262714636464	7.297236404030005e-07	0.0011713119541081434	0.9109526193828366	0.02449426632259727	0.00025686948294331014	0.0005266737582473792	1.806704357109333e-21	0.0	Gland cells
84	1.4299242577806796e-23	2.132234220637629e-22	2.032038025766737e-05	0.7233343309359216	1.2829828569477263e-12	2.3078057767750956e-24	1.9264535855290042e-17	8.26136978462174e-23	8.71685835865105e-15	0.2766453468928759	1.7896529978448976e-09	2.2834708974491727e-158	1.694467192720071e-285	Nervous System
85	3.163971564665001e-16	1.7297367550204336e-18	0.01075625387526136	0.9892437448684978	1.2337506408961964e-09	2.1230928035329974e-19	1.2551383664929597e-14	8.808040033185419e-13	4.847404573476976e-12	1.6748695986442908e-11	3.5647002193854437e-16	4.186260921608519e-128	0.0	Nervous System
86	0.009311420428631322	0.10593957744512714	0.0028396053968779674	0.0005332163163767563	0.04453541600453306	2.7678783410277703e-06	0.007935264143015123	0.6651329456610927	0.16209232874516957	0.00014791602022064392	0.001279327436963592	0.00025021452365107494	0.0	Gland cells
87	1.2996053503752665e-08	5.465877884703825e-10	0.9485539619013442	0.010214528382119083	0.013292887589832185	2.4610768492833502e-12	0.005072885298919108	5.019416207541913e-06	0.022859776750396094	1.1230960313331381e-10	9.270037698147663e-07	6.743108778761806e-105	0.0	Sensory Motile Cilia
88	1.1872840840663863e-05	2.7743162929272282e-05	0.00036965548650326143	4.764751336907349e-06	0.012667015708059528	3.966411397174455e-07	0.8673180122814601	0.05114066373699918	0.0684596466364099	4.0220070301963305e-12	2.2875029968683226e-07	2.5216014516618774e-44	0.0	Epidermis
89	2.79380403695928e-18	6.500968497824647e-15	0.9999998272660896	2.821219548498446e-08	1.409959426007798e-07	3.77230863895209e-19	2.8234242320194235e-09	1.4319720629315636e-15	7.023401546625807e-10	8.701808265044277e-20	6.505999795747729e-17	5.0108777069360803e-113	0.0	Sensory Motile Cilia
90	1.0276478912832166e-23	1.8953158639318644e-22	0.9995103031556832	0.0004896967122893977	1.182155522330502e-10	5.591423822086999e-21	5.92299149389584e-16	1.955118309672635e-22	1.3810397743290836e-11	8.604327715039204e-23	8.541309216231319e-16	1.1715735345766627e-164	8.503728696691427e-274	Sensory Motile Cilia
91	4.2165951508111946e-10	5.487856122212317e-12	0.008013165426785322	0.006752820251172496	0.005760241224894245	7.07222817149132e-13	0.0628986907692402	1.7898637425336672e-08	0.916575027418647	1.5768595639520326e-15	3.6582767078967915e-08	1.0548172084227183e-98	0.0	Heme/chitin
