label_id	cell_id
1	0
2	22492
3	22492
4	22492
5	22829
6	22829
7	22828
8	22828
9	22828
10	22828
11	22828
12	22828
13	22828
14	22828
15	22828
16	22496
17	22496
18	22829
19	22829
20	22496
21	22492
22	22492
23	22492
24	22496
25	22496
26	22496
27	22496
28	22828
29	22828
30	22828
31	22828
32	22828
33	22829
34	22829
35	22828
36	22828
37	22828
38	22828
39	0
40	22829
41	22829
42	22829
43	22829
44	22833
45	22833
46	22833
47	22833
48	22833
49	22829
50	0
51	0
52	22833
53	22833
54	22833
55	22829
56	22833
57	22829
58	22833
59	22828
60	22833
61	22833
62	22833
63	22828
64	22829
65	0
66	22833
67	0
68	0
69	0
70	22822
71	22822
72	22833
73	22833
74	23626
75	23445
76	23445
77	23105
78	23445
79	23445
80	23445
81	23445
82	23445
83	23445
84	23445
85	23445
86	23445
87	23105
88	23445
89	23445
90	23445
91	23445
92	23445
93	23445
94	22822
95	23105
96	23105
97	23105
98	23105
99	23445
100	23445
101	23445
102	23626
103	23626
104	23626
105	23626
106	0
107	23626
108	23626
109	23626
110	23626
111	23626
112	23626
113	23626
114	23626
115	23626
116	23627
117	23627
118	23627
119	23627
120	23627
121	23627
122	23627
123	23104
124	23104
125	23104
126	23104
127	23105
128	23445
129	23626
130	23445
131	23626
132	22822
133	23104
134	0
135	0
136	0
137	23626
138	23104
139	23105
140	23627
141	23627
142	23627
143	23627
144	23627
145	23627
146	23627
147	23627
148	23627
149	23627
150	23627
151	0
152	0
153	0
154	0
155	0
156	0
157	23511
158	23511
159	0
160	0
161	0
162	23511
163	23511
164	23857
165	23857
166	23511
167	23857
168	23857
169	23511
170	23857
171	23511
172	24973
173	24973
174	24973
175	24973
176	24973
177	24973
178	22822
179	22828
180	22828
181	22828
182	23104
183	23857
184	24973
