label_id	anchor_x	anchor_y	anchor_z
1	0.0	0.0	0.0
2	147.49317932128906	89.26622009277344	178.8000030517578
3	145.73350524902344	88.6263198852539	179.0
4	145.8934783935547	89.42620086669922	179.0
5	190.2053985595703	90.22607421875	181.1999969482422
6	179.96728515625	86.06671905517578	179.0
7	176.60787963867188	83.9870376586914	178.60000610351562
8	179.48736572265625	85.42681121826172	179.8000030517578
9	176.44790649414062	83.6670913696289	178.40000915527344
10	177.8876495361328	84.14701080322266	178.40000915527344
11	179.6473388671875	84.14701080322266	179.1999969482422
12	179.8072967529297	84.6269302368164	179.1999969482422
13	177.24777221679688	84.14701080322266	178.1999969482422
14	177.40773010253906	84.46696472167969	178.1999969482422
15	179.00746154785156	84.46696472167969	179.40000915527344
16	173.08853149414062	84.46696472167969	179.0
17	154.69186401367188	89.26622009277344	178.0
18	179.00746154785156	85.26683044433594	178.40000915527344
19	179.48736572265625	84.94688415527344	178.60000610351562
20	152.93218994140625	88.78629302978516	178.1999969482422
21	150.85256958007812	89.90612030029297	178.0
22	147.3332061767578	89.74614715576172	179.0
23	153.57208251953125	89.74614715576172	178.40000915527344
24	151.81239318847656	88.9462661743164	178.40000915527344
25	153.73204040527344	89.10624694824219	178.1999969482422
26	159.17105102539062	87.82644653320312	179.0
27	153.25213623046875	89.10624694824219	178.0
28	180.1272430419922	86.2266845703125	180.40000915527344
29	176.12796020507812	83.9870376586914	178.8000030517578
30	176.76785278320312	84.6269302368164	179.0
31	178.68751525878906	84.94688415527344	179.60000610351562
32	186.52609252929688	88.30636596679688	181.40000915527344
33	180.60716247558597	84.30699157714844	179.1999969482422
34	180.60716247558597	84.30699157714844	179.60000610351562
35	178.68751525878906	85.42681121826172	179.1999969482422
36	176.76785278320312	84.6269302368164	178.40000915527344
37	176.60787963867188	84.46696472167969	178.8000030517578
38	178.2075958251953	84.6269302368164	178.60000610351562
39	184.82546997070312	88.3633804321289	180.89833068847656
40	179.96728515625	84.78691101074219	178.8000030517578
41	179.96728515625	84.46696472167969	178.60000610351562
42	180.4471893310547	84.94688415527344	179.40000915527344
43	182.686767578125	86.06671905517578	179.8000030517578
44	186.2061462402344	88.78629302978516	179.40000915527344
45	186.52609252929688	90.06610107421875	178.8000030517578
46	186.2061462402344	89.26622009277344	179.0
47	186.2061462402344	89.58616638183594	179.0
48	187.9658203125	91.34589385986328	179.8000030517578
49	179.48736572265625	85.10686492919922	178.60000610351562
50	181.539306640625	85.75244140625	180.29380798339844
51	181.59033203125	85.51143646240234	180.02171325683594
52	182.5268096923828	85.26683044433594	180.6000061035156
53	182.686767578125	85.26683044433594	181.0
54	183.1667022705078	85.26683044433594	180.8000030517578
55	180.60716247558597	84.78691101074219	179.60000610351562
56	187.1659698486328	87.18653869628906	182.8000030517578
57	179.6473388671875	85.74676513671875	179.0
58	183.64659118652344	85.42681121826172	180.1999969482422
59	184.45013427734372	85.69680786132812	181.1885070800781
60	184.28648376464844	85.74676513671875	180.6000061035156
61	185.88619995117188	86.86659240722656	181.0
62	183.64659118652344	85.42681121826172	180.40000915527344
63	184.12652587890625	88.14639282226562	180.40000915527344
64	181.72694396972656	86.38666534423828	180.0
65	188.3038024902344	89.41038513183594	180.30699157714844
66	186.04617309570312	88.9462661743164	179.40000915527344
67	189.2912139892578	90.89153289794922	180.64157104492188
68	189.950927734375	91.07105255126952	180.666015625
69	190.42300415039062	91.57789611816406	181.19017028808597
70	139.65460205078122	84.14701080322266	183.0
71	140.45445251464844	85.58678436279297	182.1999969482422
