label_id	most_probable_broad_type	most_probable_broad_subtype	broadTypeColourScheme	subtypeColourScheme
7916	Central nervous system	clade11sub20subsub3	255-66-212-244	255-224-92-154
7917	Developing neurons	clade9sub8	255-145-30-180	255-41-223-73
7921	Central nervous system	clade11sub22subsub4	255-66-212-244	255-91-176-44
7922	Central nervous system	clade11sub22subsub4	255-66-212-244	255-91-176-44
7957	Central nervous system	clade11sub22subsub4	255-66-212-244	255-91-176-44
7959	Cardiovascular system	clade11sub22subsub5	255-255-225-25	255-161-38-193
8009	Midgut	nocladesub22	255-191-239-69	255-190-57-90
8137	Central nervous system	clade11sub34	255-66-212-244	255-196-100-216
8141	Central nervous system	clade11sub11subsub1	255-66-212-244	255-202-156-30
8158	Central nervous system	clade11sub17subsub6	255-66-212-244	255-150-27-48
8160	Central nervous system	clade11sub17subsub6	255-66-212-244	255-150-27-48
8187	Central nervous system	clade11sub21	255-66-212-244	255-221-50-132
8194	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
8202	Central nervous system	clade11sub20subsub0-1-2-4-6	255-66-212-244	255-152-212-189
8295	Central nervous system	clade11sub11subsub2-3	255-66-212-244	255-37-132-12
8423	Central nervous system	clade11sub11subsub2-3	255-66-212-244	255-37-132-12
8431	Central nervous system	clade11sub11subsub0-4	255-66-212-244	255-203-192-199
8433	Central nervous system	clade11sub11subsub2-3	255-66-212-244	255-37-132-12
8434	Central nervous system	clade11sub11subsub0-4	255-66-212-244	255-203-192-199
8435	Central nervous system	clade11sub11subsub2-3	255-66-212-244	255-37-132-12
8440	Central nervous system	clade11sub17subsub6	255-66-212-244	255-150-27-48
8443	Central nervous system	clade11sub17subsub6	255-66-212-244	255-150-27-48
8486	Motile cilia	clade11sub18subsub6	255-67-99-216	255-223-202-191
8509	Central nervous system	clade11sub11subsub0-4	255-66-212-244	255-203-192-199
8553	Central nervous system	clade11sub4subsub9	255-66-212-244	255-103-206-44
8559	Developing neurons	clade9sub11	255-145-30-180	255-180-38-220
8639	Central nervous system	clade11sub11subsub2-3	255-66-212-244	255-37-132-12
8649	Central nervous system	clade11sub17subsub6	255-66-212-244	255-150-27-48
8660	Central nervous system	clade11sub11subsub0-4	255-66-212-244	255-203-192-199
8661	Central nervous system	clade11sub17subsub6	255-66-212-244	255-150-27-48
8663	Central nervous system	clade11sub17subsub6	255-66-212-244	255-150-27-48
8696	Central nervous system	clade11sub11subsub1	255-66-212-244	255-202-156-30
8719	Central nervous system	clade11sub11subsub2-3	255-66-212-244	255-37-132-12
8725	Central nervous system	clade11sub6subsub10	255-66-212-244	255-153-160-45
8729	Central nervous system	clade11sub4subsub6	255-66-212-244	255-237-50-18
8830	Central nervous system	clade11sub11subsub0-4	255-66-212-244	255-203-192-199
8832	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
8838	Central nervous system	clade11sub17subsub6	255-66-212-244	255-150-27-48
8839	zero	zero	255-128-128-128	255-208-44-76
8841	Somatic musculature	clade3.1sub6	255-220-190-255	255-65-88-56
8842	Enteric nervous system	clade11sub6subsub10	255-128-0-0	255-153-160-45
8856	Central nervous system	clade11sub11subsub0-4	255-66-212-244	255-203-192-199
8979	Somatic musculature	clade3.1sub50	255-220-190-255	255-158-191-95
8999	Central nervous system	clade11sub11subsub0-4	255-66-212-244	255-203-192-199
9000	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
9006	Central nervous system	clade11sub11subsub1	255-66-212-244	255-202-156-30
9010	Macrophage	clade13sub12	255-70-153-144	255-219-4-252
9035	Gland cells	clade1sub12	255-154-99-36	255-32-26-207
9264	Central nervous system	clade11sub11subsub1	255-66-212-244	255-202-156-30
10174	Central nervous system	clade11sub9subsub3	255-66-212-244	255-165-50-180
10340	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
