label_id	most_probable_broad_type	most_probable_broad_subtype	broadTypeColourScheme	subtypeColourScheme
3087	Central nervous system	clade11sub11subsub2-3	255-66-212-244	255-37-132-12
3113	Anterior nervous system	clade11sub52	255-240-50-230	255-205-64-37
3127	Central nervous system	clade11sub7subsub7	255-66-212-244	255-40-149-110
3129	Central nervous system	clade11sub7subsub7	255-66-212-244	255-40-149-110
3154	zero	clade5sub16	255-128-128-128	255-36-198-231
3155	Epidermis	clade6sub15	255-128-128-0	255-122-191-26
3157	zero	clade1sub12	255-128-128-128	255-32-26-207
3180	Central nervous system	clade11sub7subsub6	255-66-212-244	255-88-67-2
3220	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
3221	Central nervous system	clade11sub7subsub6	255-66-212-244	255-88-67-2
3222	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
3223	Developing neurons	nocladesub19	255-145-30-180	255-216-91-192
3224	Central nervous system	clade11sub7subsub7	255-66-212-244	255-40-149-110
3225	Developing neurons	clade9sub16	255-145-30-180	255-113-132-112
3226	Anterior nervous system	clade11sub48	255-240-50-230	255-17-19-116
3227	Developing neurons	clade9sub16	255-145-30-180	255-113-132-112
3233	Central nervous system	clade11sub48	255-66-212-244	255-17-19-116
3259	Cardiovascular system	clade5sub7	255-255-225-25	255-118-135-60
3286	Central nervous system	clade11sub21	255-66-212-244	255-221-50-132
3287	Central nervous system	clade11sub6subsub8	255-66-212-244	255-143-198-85
3288	Central nervous system	clade11sub6subsub8	255-66-212-244	255-143-198-85
3291	Motile cilia	clade9sub12	255-67-99-216	255-86-170-151
3365	Central nervous system	clade11sub7subsub7	255-66-212-244	255-40-149-110
3395	Developing neurons	clade11sub25subsub5	255-145-30-180	255-159-176-78
3401	Central nervous system	clade11sub7subsub6	255-66-212-244	255-88-67-2
3405	Central nervous system	clade11sub7subsub6	255-66-212-244	255-88-67-2
