label_id	anchor_x	anchor_y	anchor_z	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id	most_probable_broad_type	most_probable_subtype
1012	193.52	140.08	23.9	1396	339	0	Motile cilia	clade9sub7
1015	195.2	145.04	25.1	1397	327	0	Developing neurons	clade11sub7subsub6
1018	200.0	139.92	23.3	1103	343	0	Motile cilia	clade10sub9
1019	200.64	144.4	22.3	1399	325	0	Developing neurons	clade10sub9
1024	204.72	140.4	29.0	824	166	0	Motile cilia	clade10sub9
1025	208.64	137.6	27.1	1104	171	0	Developing neurons	clade9sub16
1046	184.4	152.48	24.1	1411	52	0	Motile cilia	clade10sub19
1047	185.28	150.0	27.2	1413	50	0	Motile cilia	clade10sub19
1053	193.04	148.08	23.3	1271	329	0	Developing neurons	clade11sub8subsub0
1056	194.56	162.08	25.3	1423	653	0	Central nervous system	clade11sub23
1057	197.92	148.0	26.1	1548	333	0	Developing neurons	clade11sub8subsub0
1070	214.8	156.32	27.3	1425	39	0	Developing neurons	clade10sub22
1073	215.92	152.24	22.4	1277	96	0	Motile cilia	clade10sub9
1075	218.56	153.92	24.8	1125	361	0	Motile cilia	clade10sub9
1076	220.32	160.8	23.3	733	377	0	Motile cilia	clade10sub9
1079	221.44	156.16	26.6	1415	365	0	Motile cilia	clade10sub9
1081	223.52	158.08	25.0	1428	379	0	Motile cilia	clade10sub9
1118	169.68	178.64	21.9	1172	279	0	Motile cilia	clade10sub8
1143	197.36	165.52	25.9	1594	654	0	Central nervous system	clade11sub23
1172	226.56	172.16	25.2	1601	718	0	Motile cilia	clade10sub9
1175	230.0	167.2	23.4	1448	712	0	Motile cilia	clade10sub19
1211	187.92	199.12	25.6	1646	409	0	Developing neurons	clade11sub4subsub2-5-8
1212	188.32	203.84	26.3	1796	407	0	Central nervous system	clade11sub18subsub2
1214	189.84	196.72	26.8	928	81	0	Developing neurons	clade11sub4subsub2-5-8
1218	195.04	195.76	23.6	1059	395	0	Developing neurons	clade11sub8subsub0
1223	198.24	200.08	25.0	1506	399	0	Central nervous system	clade11sub8subsub0
1251	187.68	208.56	23.4	1501	405	0	Motile cilia	clade10sub9
1299	206.64	142.88	29.5	1849	178	0	Developing neurons	clade11sub7subsub6
1301	202.8	137.92	34.7	1834	167	0	Developing neurons	clade11sub4subsub2-5-8
1303	208.0	136.16	33.4	2328	164	0	Developing neurons	clade11sub7subsub6
1306	208.48	140.32	33.9	2329	162	0	Developing neurons	clade11sub7subsub6
1337	187.12	159.2	29.7	1885	671	0	Central nervous system	clade11sub9subsub4
1348	198.72	152.08	27.0	1703	335	0	Developing neurons	clade11sub8subsub0
1365	215.44	161.6	30.5	1124	363	0	Developing neurons	clade11sub4subsub6
1387	142.4	175.36	32.4	2209	195	0	Motile cilia	clade10sub21
1388	143.52	183.04	29.0	1922	203	0	Motile cilia	clade10sub3subsub5-9
1389	145.04	175.84	29.5	1900	197	0	Motile cilia	clade10sub21
1390	145.44	180.88	26.7	1921	199	0	Motile cilia	clade10sub13
1393	147.36	183.52	31.7	2077	207	0	Motile cilia	clade11sub18subsub2
1399	152.0	183.28	31.6	2229	179	0	Motile cilia	clade10sub22
1474	229.44	172.56	28.3	1743	713	0	Developing neurons	clade11sub7subsub6
1476	230.4	166.24	28.5	1565	716	0	Motile cilia	clade10sub9
1477	232.08	169.92	30.8	1024	714	0	Motile cilia	clade10sub22
1482	144.48	186.88	30.1	2076	205	0	Motile cilia	clade10sub9
1532	195.84	202.0	33.7	1648	393	0	Central nervous system	clade11sub15subsub4
1581	197.6	208.72	30.3	2140	387	0	Developing neurons	clade9sub7
1583	200.56	207.68	32.1	2299	101	0	Central nervous system	clade11sub8subsub0
1640	205.68	139.36	34.5	2173	160	0	Developing neurons	clade11sub4subsub2-5-8
1678	185.6	152.4	36.6	1715	429	0	Central nervous system	clade11sub23
1691	194.32	152.48	38.2	2860	425	0	Central nervous system	clade11sub8subsub0
1697	202.24	155.6	38.0	2878	459	0	Central nervous system	clade11sub8subsub0
1708	211.68	158.64	37.1	1404	465	0	Developing neurons	clade11sub8subsub0
1716	215.68	153.28	36.9	2691	471	0	Central nervous system	clade11sub8subsub0
1718	220.4	160.16	31.8	2197	100	0	Developing neurons	clade11sub7subsub6
1719	220.88	155.68	36.2	2533	479	0	Developing neurons	clade11sub7subsub6
1745	146.8	173.2	36.8	2210	201	0	Motile cilia	clade10sub22
1747	147.52	182.8	35.4	2394	183	0	Motile cilia	clade10sub19
1748	148.0	179.04	31.2	2230	181	0	Motile cilia	clade10sub3subsub5-9
1818	231.84	166.88	33.3	2072	715	0	Motile cilia	clade11sub9subsub3
1827	145.12	187.76	33.9	2395	187	0	Motile cilia	clade10sub9
1861	175.84	204.0	35.5	2783	487	0	Developing neurons	clade11sub8subsub0
1880	196.32	205.44	37.7	2788	103	0	Central nervous system	clade11sub9subsub4
1885	201.84	204.0	32.5	2143	397	0	Central nervous system	clade11sub9subsub4
1935	186.32	207.2	40.3	2444	79	0	Central nervous system	clade11sub9subsub3
1937	193.6	210.0	36.7	2139	403	0	Central nervous system	clade11sub9subsub4
1938	195.68	209.76	33.7	2445	401	0	Central nervous system	clade11sub9subsub4
2040	183.84	148.0	42.5	3028	590	0	Developing neurons	clade9sub22
2043	190.96	148.48	42.3	3205	417	0	Central nervous system	clade11sub8subsub1-4
2044	188.48	152.0	43.8	3357	421	0	Central nervous system	clade11sub23
2052	198.0	152.0	40.6	2861	481	0	Central nervous system	clade11sub8subsub0
2053	200.56	149.28	39.6	3031	473	0	Central nervous system	clade11sub8subsub0
2055	200.96	145.52	43.5	3208	469	0	Developing neurons	clade11sub7subsub6
2062	208.08	156.8	41.1	3229	455	0	Central nervous system	clade11sub8subsub0
2064	210.88	154.88	39.2	2881	463	0	Central nervous system	clade11sub8subsub0
2070	215.84	157.84	39.8	2692	457	0	Developing neurons	clade11sub8subsub0
2072	213.52	155.12	42.3	3391	439	0	Central nervous system	clade11sub8subsub0
2089	129.12	176.64	42.1	3413	644	0	Motile cilia	clade10sub9
2094	135.84	172.08	42.5	3403	611	0	Central nervous system	clade11sub23
2096	140.24	174.64	40.8	3240	609	0	Motile cilia	clade11sub8subsub0
2098	140.64	170.88	40.7	3241	607	0	Central nervous system	clade11sub23
2101	144.4	166.96	43.2	3405	605	0	Midgut	clade9sub22
2103	146.08	185.92	39.6	2908	189	0	Developing neurons	clade11sub18subsub2
2123	167.36	180.08	43.5	3258	521	0	Central nervous system	clade11sub8subsub1-4
2126	169.92	181.76	39.4	2912	519	0	Central nervous system	clade11sub8subsub1-4
2157	231.28	168.72	38.4	2904	717	0	Developing neurons	clade11sub9subsub4
2173	148.4	189.68	38.3	1923	191	0	Developing neurons	clade11sub18subsub2
2177	152.24	189.76	41.0	3085	193	0	Developing neurons	clade11sub7subsub6
2191	167.6	198.48	42.5	3282	491	0	Central nervous system	clade11sub8subsub0
2192	170.0	190.96	41.4	3088	485	0	Central nervous system	clade11sub8subsub0
2195	169.76	186.16	43.5	3268	489	0	Central nervous system	clade11sub8subsub0
2202	175.6	188.64	41.9	3269	497	0	Central nervous system	clade11sub8subsub0
2212	191.84	205.04	40.5	2797	73	0	Central nervous system	clade11sub23
2266	186.08	220.24	39.8	3306	534	0	Developing neurons	clade9sub17
2268	188.16	221.6	41.9	3481	517	0	Anterior nervous system	nocladesub19
2275	197.84	209.68	37.7	2630	389	0	Central nervous system	clade11sub9subsub4
2276	198.0	209.04	41.5	2447	391	0	Central nervous system	clade11sub9subsub4
2284	158.08	121.04	46.7	3655	564	0	Motile cilia	clade10sub13
2298	198.4	122.08	46.8	2988	537	0	Developing neurons	clade9sub16
2307	139.6	143.28	47.9	3878	635	0	Stem cells	clade3.1sub23
2314	174.4	132.64	45.3	3504	578	0	Midgut	clade7sub10
2315	177.2	140.4	46.1	3701	572	0	Motile cilia	clade11sub28subsub4
2316	177.12	144.32	43.7	3520	588	0	Heme/chitin	clade11sub23
2317	176.08	127.04	46.9	3866	598	0	Central nervous system	nocladesub22
2323	180.88	127.12	48.1	3868	600	0	Central nervous system	clade11sub8subsub1-4
2326	183.92	145.6	46.9	3728	592	0	Central nervous system	clade11sub37
2369	132.4	161.44	44.2	3742	640	0	Motile cilia	clade10sub19
2370	132.96	154.4	44.2	3349	641	0	Heme/chitin	clade13sub3
2384	180.56	148.16	45.7	3522	602	0	Central nervous system	clade11sub23
2386	187.2	148.0	44.8	3534	419	0	Central nervous system	clade11sub8subsub1-4
2387	189.2	146.88	48.3	3729	49	0	Central nervous system	clade11sub27subsub6
2388	192.48	146.0	47.4	3535	423	0	Central nervous system	clade11sub8subsub0
2392	202.56	152.16	43.2	3361	443	0	Central nervous system	clade11sub8subsub0
2393	204.48	149.6	45.4	3731	433	0	Central nervous system	clade11sub8subsub0
2395	207.44	154.08	45.5	3732	441	0	Central nervous system	clade11sub8subsub0
2397	209.12	150.72	44.5	3363	445	0	Central nervous system	clade11sub8subsub0
2401	213.92	151.52	44.4	3538	447	0	Central nervous system	clade11sub8subsub0
2402	214.0	157.36	46.7	3756	453	0	Central nervous system	clade11sub8subsub0
2406	214.32	153.92	47.0	3919	437	0	Central nervous system	clade11sub8subsub0
2408	220.32	153.12	43.2	3539	477	0	Central nervous system	clade11sub8subsub0
2410	221.12	154.0	45.4	3901	475	0	Central nervous system	clade11sub8subsub0
2431	126.88	172.96	46.9	3238	643	0	Motile cilia	clade10sub9
2434	134.8	180.64	46.2	3940	616	0	Central nervous system	clade11sub8subsub1-4
2435	137.84	176.48	47.9	3941	617	0	Central nervous system	clade11sub29subsub6
2436	139.2	173.84	44.4	3765	610	0	Central nervous system	clade11sub23
2438	140.48	177.2	44.0	3415	608	0	Central nervous system	clade11sub15subsub4
2439	139.28	183.6	43.4	1471	561	0	Motile cilia	clade11sub8subsub1-4
2440	141.2	168.96	46.3	3926	612	0	Developing neurons	clade9sub13
2443	143.76	172.88	46.5	3927	603	0	Central nervous system	clade11sub23
2445	147.68	167.92	46.1	3928	606	0	Motile cilia	clade11sub23
2522	168.4	196.24	45.5	3618	40	0	Central nervous system	clade11sub8subsub0
2524	171.44	194.0	46.1	3619	54	0	Central nervous system	clade11sub8subsub0
2525	172.08	190.8	44.8	3437	483	0	Central nervous system	clade11sub8subsub0
2527	172.72	188.24	46.9	3959	493	0	Central nervous system	clade11sub8subsub0
2528	175.84	200.32	45.1	3813	501	0	Developing neurons	clade11sub8subsub0
2529	176.24	187.76	44.7	3594	495	0	Central nervous system	clade11sub8subsub1-4
2530	175.92	194.72	45.9	3960	499	0	Central nervous system	clade11sub8subsub0
2592	180.72	211.76	46.6	3994	511	0	Central nervous system	clade11sub7subsub6
2611	159.68	123.52	50.2	4019	566	0	Motile cilia	clade4sub5
2628	137.92	145.12	50.0	3512	634	0	Motile cilia	clade10sub9
2632	152.24	128.24	50.8	4193	568	0	Motile cilia	clade10sub21
2633	154.24	126.32	48.8	4017	570	0	Motile cilia	clade10sub19
2645	176.4	132.8	47.8	4025	576	0	Central nervous system	clade11sub23
2646	178.48	137.76	48.4	3885	574	0	Motile cilia	clade11sub23
2648	177.92	128.72	50.6	4197	596	0	Central nervous system	clade9sub22
2649	179.2	136.48	50.9	4216	582	0	Motile cilia	clade11sub23
2650	178.72	142.24	51.3	4396	584	0	Central nervous system	clade11sub23
2651	178.8	144.88	47.7	3700	586	0	Central nervous system	clade11sub23
2652	183.12	142.24	49.7	4043	580	0	Central nervous system	clade11sub23
2692	130.8	160.16	46.9	3372	639	0	Motile cilia	clade10sub13
2693	132.0	155.36	48.3	4065	638	0	Motile cilia	clade4sub3
2694	132.88	155.6	51.0	4244	637	0	zero	clade4sub5
2695	133.84	147.6	48.0	3877	636	0	Motile cilia	clade10sub9
2703	152.0	157.84	48.5	3907	525	0	Epidermis	nocladesub20
2710	181.6	147.2	51.0	4411	594	0	Central nervous system	clade11sub23
2712	198.88	150.4	48.7	3898	451	0	Central nervous system	clade11sub8subsub0
