label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
332	92.47999572753906	109.75999450683594	202.6000061035156	88.24	106.4	200.0	95.92	112.32	205.3	113344
4495	145.44000244140625	124.47999572753906	82.20000457763672	143.36	122.08	79.2	147.6	126.72	84.80000000000003	88973
4496	146.0800018310547	117.27999877929688	81.20000457763672	144.24	115.6	77.60000000000002	148.88	119.84	84.9	88805
4497	149.1199951171875	123.04000091552734	82.20000457763672	146.64	120.96	79.0	151.76	125.92	84.9	95961
4498	149.59999084472656	119.5199966430664	81.0	147.04	116.96	77.60000000000002	152.64	121.2	83.0	84398
4499	151.1999969482422	116.31999969482422	83.0	147.6	114.16	78.7	153.92000000000004	118.0	85.80000000000003	97634
4522	131.19999694824222	140.8000030517578	80.0	129.28	137.68	77.60000000000002	134.32	143.68	82.4	99854
4579	125.27999877929688	150.87998962402344	81.20000457763672	123.44	149.36	78.4	127.44	155.04	85.80000000000003	99717
4582	129.1199951171875	148.16000366210938	82.0	126.88	146.0	79.5	131.76	151.92000000000004	84.0	101598
4583	132.16000366210938	144.16000366210938	81.80000305175781	130.16	142.16	79.4	134.8	147.6	84.80000000000003	90465
4806	143.67999267578125	118.7199935913086	85.20000457763672	140.88	115.68	82.7	146.48	121.76	88.4	104736
4808	146.39999389648438	120.79999542236328	84.4000015258789	142.56	118.64	80.30000000000003	148.64	123.28	86.80000000000003	107045
4810	148.16000366210938	114.72000122070312	84.20000457763672	145.68	112.72	80.2	151.36	117.44	86.9	92717
4813	151.36000061035156	119.36000061035156	85.20000457763672	148.64	117.44	83.0	155.52	121.92	87.30000000000003	93847
4814	154.87998962402344	123.04000091552734	84.0	151.68	119.68	81.7	157.04	125.36	86.2	102578
4815	154.72000122070312	114.39999389648438	87.20000457763672	151.84	112.56	84.80000000000003	158.8	117.2	90.4	79348
4828	125.91999816894531	145.59999084472656	87.4000015258789	124.08	141.76	83.5	129.6	147.52	89.60000000000002	103322
4833	132.80000305175778	143.1999969482422	86.80000305175781	129.52	141.20000000000005	84.5	135.2	146.8	89.7	93434
4844	148.0	124.31999969482422	86.80000305175781	144.32	122.16	83.2	150.24	126.8	89.4	103792
4880	124.0	149.1199951171875	84.0	121.44	145.92000000000004	80.10000000000002	126.16	151.76	87.30000000000003	103044
4882	128.47999572753906	151.0399932861328	85.0	126.4	147.68	82.30000000000003	131.6	153.68	87.0	97218
4885	135.19999694824222	147.1999969482422	86.20000457763672	130.64	144.88	83.7	137.20000000000002	150.48	89.60000000000002	101713
5108	144.8000030517578	121.5999984741211	89.4000015258789	142.88	118.64	86.5	148.0	124.88	92.2	106392
