label_id	cell_ids	is_traced	most_probable_assignment	clade10sub3subsub5-9	clade10sub9	clade11sub11subsub0-4	clade11sub11subsub1	clade11sub11subsub2-3	clade11sub13subsub4	clade11sub13subsub5	clade11sub17subsub6	clade11sub18subsub7	clade11sub20subsub0-1-2-4-6	clade11sub20subsub3	clade11sub21	clade11sub23	clade11sub25subsub2	clade11sub25subsub3	clade11sub25subsub7	clade11sub28subsub2	clade11sub34	clade11sub35	clade11sub42	clade11sub6subsub6	clade11sub6subsub7	clade11sub6subsub8	clade11sub6subsub9	clade11sub7subsub1-4	clade11sub7subsub6	clade11sub8subsub0	clade11sub8subsub1-4	clade11sub8subsub8	clade11sub9subsub4
332	25106	no	clade11sub6subsub6	2.693524097339269e-05	0.0077033071081864	0.002228282712723	3.831024214675779e-05	0.0045382139803648	0.3160049765370203	0.0001680083549101	0.0014228232465317	6.5005300689727e-08	2.1867696358469512e-06	2.047533595580311e-06	5.545837638350429e-05	8.320187310609811e-07	5.8474728784649154e-08	1.289186567443143e-06	0.1169691728160205	3.470994017504134e-06	1.7707327509713578e-05	7.69145153827945e-06	3.924886976858834e-05	0.5416568738973984	0.0002496433298458	1.426536763029053e-06	2.069288637397549e-07	0.0001663968647073	0.0001654046903516	2.4069543719301976e-05	1.0145088419271744e-05	5.136176482419234e-06	2.275866580984279e-07
4495	8353	no	clade11sub20subsub0-1-2-4-6	4.2842253971807053e-13	4.992317207450214e-10	0.1349633826100301	0.003057448027039	2.23111847817922e-06	0.0007405985751544	6.7081433684924615e-12	1.2065715696814024e-11	4.1738769603772235e-09	0.8427868591464215	0.0002190764173866	0.0001454990662852	2.073877829246525e-08	1.5381615587070034e-10	2.089465160730331e-07	1.0168846152150654e-09	1.1273309914400203e-09	5.968700926217179e-05	0.0008038059361219	0.000174211780149	3.360294263540176e-05	1.8808458528906689e-06	3.219039520472169e-06	1.030054728627944e-12	2.3390709752350833e-09	1.247248874777489e-06	5.021895300043014e-05	0.0169543543382851	8.522758073909463e-09	6.693159051889763e-07
4496	7984	no	clade11sub20subsub0-1-2-4-6	1.0274275047612137e-10	4.4993369703794906e-07	0.0303735262563446	0.001549656618789	4.841218077964435e-07	0.0001560755422957	3.079962053743401e-11	1.6887652164915845e-14	1.577101691375767e-09	0.7280674713464732	0.001857198818299	0.0001084258154413	1.1994974504443856e-05	3.4077166829832424e-11	7.840973163847667e-10	3.3070330057329006e-10	1.6811171264990697e-11	6.422053718122045e-07	1.0567271823022028e-05	3.497601642707784e-05	7.414595899303852e-06	2.9083367902325118e-11	4.1240008305477926e-08	4.8606373570692505e-15	1.551539986802463e-09	3.9308412217184e-05	3.980018620866724e-05	0.2377413743026278	8.701459067314806e-09	3.951651509695261e-08
4497	8354	no	clade11sub11subsub0-4	1.5777620027146693e-08	2.165090858414709e-08	0.6641763901850375	0.0029512999219153	0.0006219305654093	0.000581062269583	1.2312062065499814e-10	2.888848122613149e-09	3.726683122714451e-10	1.3968945242183742e-06	2.05320700024638e-08	0.0025650551463107	0.0020180929774504	6.45091992792314e-11	2.928269232756772e-07	4.065377820871624e-08	8.217894710668281e-07	0.0001681826902523	0.0029026818844065	4.724036197879733e-05	8.100556625356812e-07	1.8669335552480624e-06	1.6531481028099732e-05	2.045559694923088e-11	4.102029874029314e-09	3.538897662449922e-07	3.2828368128612105e-05	0.3238842400887334	1.7986446565184539e-10	2.411169210219272e-08
4498	8156	no	clade11sub11subsub0-4	2.423802718647548e-10	2.671591279081901e-06	0.7504269723098328	0.0829161259343848	0.0110980233620368	2.592545310700845e-05	1.0274522626805937e-08	1.54869865753924e-07	2.6614346699907573e-08	2.7323275095292485e-05	6.55752449841127e-08	0.0001765464762159	0.0066145478209414	8.787671409850699e-08	1.2340775984491882e-07	2.959660092114425e-06	9.983261015329952e-05	4.330422904805138e-05	3.886438033433758e-05	0.0003231011527526	2.998748679065699e-06	5.1213359608059934e-08	1.9082279197552973e-08	1.8181549279582066e-13	1.015222737144625e-06	3.778828778239193e-07	0.0001768667682318	0.1479523537976358	2.7604418639162523e-09	1.7429219049499986e-10
4499	8155	no	clade11sub8subsub1-4	7.218342381524788e-12	1.793443897069803e-09	0.0434468550381659	0.0710062125028471	0.002539913680648	2.508941076561382e-05	1.6146007687902787e-11	1.54827457510847e-08	8.371249624190767e-11	9.615279742340897e-08	5.576096853103616e-11	5.7875452980025424e-08	0.000186993760323	9.993008633730195e-12	7.118642531653766e-08	0.0036656607198661	0.00026588326721	9.778335733650809e-08	2.424664480078068e-07	1.39320816208799e-06	4.980163592635294e-08	3.614616117652759e-09	4.4119937209422954e-09	4.011842066147262e-12	4.068166919904939e-08	1.1936224992700329e-08	5.593822892122307e-06	0.8786937175538566	1.7739905917107945e-05	2.09065009302846e-08
4522	8174	no	clade11sub8subsub1-4	4.313418860765572e-15	1.1097934312578178e-09	0.0006871148033663	1.2586882125861353e-06	2.0010285894223754e-09	1.3482545445807842e-06	6.248916675731734e-14	9.938614814070004e-16	5.117955403291942e-08	2.91368996091036e-05	1.5645383391462062e-08	7.604172063846056e-06	9.278197716040056e-05	2.394115733269858e-12	1.1176074061934785e-10	1.1052201309701386e-13	3.745647702212158e-12	1.338726974670783e-07	1.091816345160974e-06	3.034761894145696e-06	1.625117957801242e-07	3.690408005483248e-10	2.9632590183064913e-08	1.996671166256933e-15	1.408560346954222e-11	9.322559585806718e-07	2.723588846314581e-05	0.999147747484572	8.409110012686854e-10	2.4377320406497583e-08
4579	8195	no	clade11sub8subsub1-4	1.3708370107428378e-10	1.741674921522506e-09	0.0050155975363005	0.0027960578109789	0.0008480654292949	0.0001083704164812	1.5284861683276382e-10	4.4192908036807136e-08	2.010210435227896e-11	2.1985121374338096e-09	6.087069270844947e-13	4.4364875202483316e-09	0.0003250307678046	4.742315274997451e-11	1.1969203223758108e-08	1.4791182773600007e-06	1.23370952105572e-07	5.173846802194115e-10	1.5977545183237274e-08	1.33542574127002e-07	1.1470362928089622e-08	1.944605035689732e-09	7.121283679689327e-08	9.132563580368972e-10	5.2526469777714865e-08	1.5594446532477247e-09	3.875784996215453e-06	0.9645187678625262	0.020399441158413	9.518827393707774e-10
4582	8405	no	clade11sub23	2.6330853592958754e-09	1.358704008623462e-06	0.0261226111196974	0.0280615442625049	0.0049746537418511	0.0008089227175709	2.0461415538551407e-10	2.5356736674175775e-07	1.3304925975739288e-08	2.0092799573666437e-06	1.0279228315820744e-07	2.127306376925652e-05	0.6182823878670974	2.7172825774106853e-08	8.411616051344916e-06	1.591994089133415e-07	4.0048680809868815e-05	8.372346403485621e-07	9.790323677564377e-06	0.0002929505104831	1.0331353784855491e-05	0.0001134103243165	1.5001030876723393e-06	7.696175497142064e-10	5.73786315212352e-06	1.1381023752870553e-08	2.928611507168936e-05	0.3100311940279222	6.2633986087081e-09	1.2834979363630372e-07
4583	8374	no	clade11sub11subsub0-4	6.998472920197582e-09	9.533291443947726e-09	0.5809890870180303	0.1535045011639786	0.0197184487850426	0.0016755718936351	6.180302646538089e-12	4.63780222943932e-08	3.2307702764836672e-09	1.2249109533968196e-06	2.346155225400693e-08	0.0011650966171718	0.0010701647059029	9.318609764099349e-14	6.76945605961283e-10	2.8982026961634314e-10	1.5478682087830705e-07	2.6763203650815315e-05	0.0010262266968702	0.0007289805399938	1.5855896075450018e-07	1.8287372149870906e-07	8.075008013686094e-07	5.169193045993755e-10	1.6775744216716756e-09	6.719395505876975e-09	6.065614149519998e-06	0.2400210220310122	4.9241662956385965e-11	9.466044005384336e-09
4806	8735	no	clade11sub20subsub0-1-2-4-6	1.436313554566333e-20	6.104781045322354e-15	8.824095606120877e-08	4.803240809949564e-05	4.292513791851445e-12	7.92636178186372e-10	2.450118010892524e-18	3.4267307528585465e-18	5.734340970391116e-14	0.9988719693328544	0.0010798846930076	5.880353278180593e-11	2.7248087257411334e-13	2.4798997560915945e-15	3.892485404789579e-16	5.880034178687272e-22	1.6073432392368847e-16	3.485729181334713e-12	4.845544008446142e-11	3.3046226837407118e-12	8.999211695716276e-14	3.949710988071741e-15	1.9170074409239776e-08	3.7143568624971904e-20	1.6780582171057272e-14	2.318478204258837e-13	9.227326768368428e-11	5.044909812907897e-09	6.848948115870551e-12	9.477279513448927e-11
