label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	sources	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id
838	215.68	153.52	19.5	204.96	143.76	0.10	223.20	161.44	61.60	0	1	kevin	365	355	0
839	216.32	160.08	19.3	203.28	146.08	0.10	221.52	163.28	64.10	0	1	kevin	734	375	0
841	219.36	154.64	20.2	176.08	117.52	0.10	222.80	162.16	62.50	0	1	kevin	835	359	0
843	220.96	158.0	24.1	196.56	130.48	0.10	223.12	162.40	59.50	0	1	kevin	996	98	0
847	226.08	159.84	23.6	212.00	148.80	0.20	228.96	165.84	61.30	0	1	kevin	1293	30	0
868	165.12	178.8	18.6	156.00	168.72	9.60	169.12	189.92	41.10	0	1	kevin	1031	273	0
869	167.36	174.48	20.7	152.40	162.64	4.20	170.08	188.16	46.00	0	1	kevin	1008	263	0
870	167.68	182.96	17.8	155.68	167.68	7.80	170.00	190.88	42.00	0	1	kevin	1034	277	0
872	169.68	178.48	17.7	157.12	167.76	10.10	172.72	192.96	51.90	0	1	kevin	1033	269	0
873	171.76	175.36	19.8	155.76	163.68	5.20	174.08	190.00	52.80	0	1	kevin	875	261	0
874	171.52	182.72	20.1	154.80	164.72	4.60	173.52	194.40	46.60	0	1	kevin	1032	285	0
875	174.72	180.8	18.8	153.68	161.76	4.90	177.04	192.88	57.60	0	1	kevin	1035	271	0
