path,name
6dpf-arx-XLOC_044659-AP_003.xml,arx | XLOC_044659 : HCR-spotiflow (AP_003)
6dpf-brn3a-XLOC_000129-AP_006.xml,POU4F (brn3) | XLOC_000129 : HCR-spotiflow (AP_006)
6dpf-bsx-XLOC_045810-AP_203.xml,bsx | XLOC_045810 : HCR-spotiflow (AP_203)
6dpf-copsin1-XLOC_012133-AP_047.xml,c-opsin 1 | XLOC_012133 : HCR-spotiflow (AP_047)
6dpf-dbx-XLOC_010144-AP_080.xml,DBX1 | XLOC_010144 : HCR-spotiflow (AP_080)
6dpf-foxq2-XLOC_019990-AP_249.xml,FoxQ2 | XLOC_019990 : HCR-spotiflow (AP_249)
6dpf-go_opsin1-XLOC_005894-AP_128.xml,go-opsin 1 | XLOC_005894 : HCR-spotiflow (AP_128)
6dpf-hoxa11-XLOC_037852-AP_181.xml,HoxA11 | XLOC_037852 : HCR-spotiflow (AP_181)
6dpf-msx-XLOC_050016-AP_009.xml,Msx | XLOC_050016 : HCR-spotiflow (AP_009)
6dpf-myh1-XLOC_045336-AP_004.xml,MYH1 (striated muscle) | XLOC_045336 : HCR-spotiflow (AP_004)
6dpf-ncald-XLOC_040379-AP_146.xml,ncald | XLOC_040379 : HCR-spotiflow (AP_146)
6dpf-otx-XLOC_060103-AP_114.xml,Otx | XLOC_060103 : HCR-spotiflow (AP_114)
6dpf-pcsk2-XLOC_011941-AP_156.xml,PCSK2 | XLOC_011941 : HCR-spotiflow (AP_156)
6dpf-pkd1-XLOC_027897-AP_011.xml,pkd1 | XLOC_027897 : HCR-spotiflow (AP_011)
6dpf-prox-XLOC_021539-AP_154.xml,Prox | XLOC_021539 : HCR-spotiflow (AP_154)
6dpf-ptf1-XLOC_003959-AP_145.xml,PTF1A (ptf1) | XLOC_003959 : HCR-spotiflow (AP_145)
6dpf-ropsin1-XLOC_028295-AP_040.xml,r-opsin1 | XLOC_028295 : HCR-spotiflow (AP_040)
6dpf-vglut-XLOC_008985-AP_173.xml,VGluT | XLOC_008985 : HCR-spotiflow (AP_173)
