label_id	anchor_x	anchor_y	anchor_z	secretory	gut	empty	gland	yolk	neuropil	cuticle
1	153.46500430822326	142.81201541888674	139.92478888769764	0	0	0	0	0	0	1
2	156.2118867063274	144.11069483514112	106.88507755220681	0	0	0	0	0	1	0
3	95.9430218736102	187.9346072049488	180.95152832248414	0	0	0	0	0	0	0
4	86.50228575978954	127.37352376925585	235.7283791390804	0	0	0	1	0	0	0
5	75.49980949627009	186.80654894336064	162.1348569711461	0	0	0	1	0	0	0
6	101.8548987544939	148.7236824098839	242.14370393301888	0	0	0	1	0	0	0
7	72.06159196458657	157.25522813773938	238.3577949823756	0	0	0	0	0	0	0
8	78.53790814891039	155.94266774922232	248.53374076545256	0	0	0	0	0	0	0
9	86.08360621442854	151.20562651899706	251.4257637286572	0	0	0	0	0	0	0
10	110.63975680651563	210.0998840168789	166.4813765740736	0	0	0	0	0	0	0
11	94.41382809125538	157.08930773157417	168.01835414457926	0	0	0	0	0	0	0
12	111.68925789933132	196.47290917745013	167.75729510402056	0	0	0	1	0	0	0
13	117.26508241796766	131.70814521016152	210.5255297073893	0	0	0	0	0	0	0
14	96.26132283864416	171.14301383775557	234.1989843849181	0	0	0	0	0	0	0
15	106.28217979965551	172.056924392267	183.09994066228543	0	0	0	0	0	0	0
16	105.29444571570892	124.70090737151794	240.59130065924148	0	0	0	0	0	0	0
17	101.99484150636684	149.71444053102147	168.4181522622596	0	0	0	0	0	0	0
18	103.96430850189121	104.12675875678343	237.6575275448117	0	0	0	0	0	0	0
19	138.81000448141103	178.20082108414314	123.75153734808023	0	0	0	0	0	0	0
20	151.41186897668015	150.08451232374497	184.64375419738255	0	0	0	0	1	0	0
21	113.87512183964388	132.726154147776	176.8510345954336	0	0	0	0	0	0	0
22	130.53117268077284	110.99392315306915	250.91027972999268	0	1	0	0	0	0	0
23	162.7387061363089	148.6900041182222	160.15657801690688	0	1	0	0	0	0	0
24	169.81609434594847	156.85003484792438	91.80936878823314	0	0	0	0	0	0	0
25	176.46937520155385	164.47543517355538	103.0995758317822	0	0	0	0	0	0	0
26	112.64885279954667	151.3752582381267	168.34145028798036	0	0	0	0	0	0	0
27	111.09791780489277	111.57802464639109	244.2339828810781	0	0	0	0	0	0	0
28	110.34746222987192	120.50781411359728	250.48064639510426	0	0	0	0	0	0	0
29	112.67221236500242	80.93783239943653	250.34849334794185	0	0	0	0	0	0	0
30	113.86475615190372	143.8654532851414	228.66487102044857	0	0	0	0	0	0	0
31	117.49357040491631	168.62341664844905	145.21520561587602	0	0	0	0	0	0	0
32	118.19006297176702	150.91271028816905	138.98541640602193	0	0	0	0	0	0	0
33	116.83728977167252	208.72911824763324	149.16781139780952	0	0	0	0	0	0	0
34	122.18553300808992	114.1927242635706	265.98660779349103	0	0	0	0	0	0	0
35	129.87210621102298	95.6164543736139	258.8090766566945	0	0	0	0	0	0	0
36	134.3368456987235	90.30840386256628	239.07428871436386	0	0	0	0	0	0	0
37	151.6524155491729	129.7259097001629	252.18607358656845	0	0	0	0	0	0	0
38	125.33486808860684	87.66274869263763	226.36287678477	0	0	0	0	0	0	0
39	130.6832090490835	147.87950600053566	154.1502052921559	0	0	0	0	0	0	0
40	172.7859170106233	156.12428799909748	133.9586758503506	0	0	1	0	0	0	0
41	138.64611303630363	188.38468894389442	108.7390594059406	0	0	0	0	0	0	0
42	129.52333506322543	73.12855056137106	195.4809640140248	0	0	0	0	0	0	0
43	140.46938889823562	177.29651848206814	89.11615158572235	0	0	0	0	0	0	0
44	137.509471308919	75.47112990615553	225.23485640879932	0	0	0	1	0	0	0
45	143.93570066630213	145.04471753941428	118.88855503541849	1	0	0	0	0	0	0
46	137.60112879330944	143.848454958184	102.43412903225807	0	0	0	0	0	0	0
47	135.41065199186505	113.4351190333772	138.4417035530566	0	0	0	0	0	0	0
48	134.3805002908668	96.9257242582897	173.7996218731821	0	0	0	0	0	0	0
49	138.64344191763982	167.32506199266686	141.6212788504334	0	0	0	0	0	0	0
50	136.65472822378894	95.90322492608598	228.7236524903344	0	0	0	0	0	0	0
51	138.9016847256204	160.19201677735055	80.29217056973087	0	0	0	0	0	0	0
52	160.56399301216388	84.7636948706983	232.86393339355698	0	0	0	1	0	0	0
53	155.67539955212024	102.02580625586941	167.92204760528787	0	0	0	0	0	0	0
54	154.9512100207855	130.1035863654507	123.4334694947734	1	0	0	0	0	0	0
55	145.94204452320298	63.35105105770295	225.80843947280982	0	0	0	0	0	0	0
56	162.52148649326642	200.6838244590498	104.40585423191877	0	0	0	0	0	0	0
57	152.33912517506656	84.25113280694981	167.49795705035825	0	0	0	0	0	0	0
58	153.05821876622244	54.78435672261645	218.26258273490228	0	0	0	0	0	0	0
59	146.95122012381472	77.89932450434921	163.9777094271609	0	0	0	0	0	0	0
60	158.87240620442796	63.36010139201903	239.09346626010867	0	0	0	0	0	0	0
61	153.9285350543782	127.50815251172207	146.34779653553088	0	0	0	0	0	0	0
62	157.5597522493154	177.63744425609593	46.22148911200938	0	0	0	0	0	0	0
63	164.9602285518104	149.1612331661701	226.30804795010448	0	0	0	0	0	0	0
64	156.29177994496743	95.1689032813582	126.36853415195705	0	0	0	0	0	0	0
65	152.0022234053881	84.10277925673519	207.91449792354385	0	0	0	0	0	0	0
66	189.87714450512001	141.6613530312171	157.97695868852622	0	0	0	0	0	0	0
67	154.36772005383582	113.4557631224765	118.02678331090176	0	0	0	0	0	0	0
68	172.2024426273725	107.94862427626072	220.846281633	0	0	0	0	0	0	0
