label_id	cell_id	nucleus_id	most_probable_subtype	most_probable_broad_type	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points
209	6654	4130	clade11sub48	Developing neurons	169.52	219.2	71.8	167.2	191.44	53.1	179.84	219.28	71.9	415
21	6568	4023	clade11sub15subsub4	Central nervous system	224.88	166.56	69.1	203.6	166.0	63.4	224.96	175.76	69.4	669
211	5435	3410	clade11sub48	Anterior nervous system	167.44	215.12	60.0	167.44	181.44	47.4	212.08	215.2	60.8	1058
213	5662	3409	clade11sub48	Central nervous system	164.08	216.16	63.6	163.84	176.08	51.5	206.8	225.68	65.2	1044
215	5877	3753	clade11sub48	Developing neurons	172.88	216.64	62.6	169.52	185.68	50.8	194.0	216.72	64.2	817
216	6120	3750	clade11sub48	Central nervous system	170.16	213.92	65.2	164.4	184.08	49.4	208.08	225.36	68.5	1273
218	5188	3411	clade11sub48	Anterior nervous system	165.12	211.12	61.4	163.2	183.68	50.6	216.64	218.08	68.1	1043
220	6642	4125	clade9sub16	Central nervous system	163.6	218.56	66.4	163.52	190.16	51.9	181.68	224.96	67.4	584
222	5647	3748	clade11sub48	Central nervous system	168.56	210.08	64.3	166.08	177.28	40.7	198.0	210.64	68.0	1816
223	5421	3416	clade11sub7subsub7	Central nervous system	171.36	213.12	60.3	166.72	195.68	50.1	173.2	218.96	60.7	274
225	5191	3414	clade11sub8subsub1-4	Central nervous system	170.24	217.84	58.1	169.28	183.44	51.3	191.84	217.92	60.5	847
226	5862	3405	clade11sub7subsub6	Central nervous system	161.76	208.0	61.6	159.76	195.28	53.1	169.84	225.12	65.9	266
228	5416	3401	clade11sub7subsub6	Central nervous system	155.92	211.44	60.2	152.96	166.96	43.2	211.36	223.2	60.6	1836
230	6224	3525	clade11sub8subsub0	Central nervous system	232.24	137.2	65.5	200.8	137.2	52.9	239.52	179.36	65.6	1201
232	5507	3233	clade11sub48	Central nervous system	233.84	139.36	61.2	197.92	138.48	52.6	240.32	187.84	66.2	1179
234	5102	0	No_nuclei	No_nuclei	232.48	147.04	59.4	196.72	144.0	51.9	234.08	178.32	63.9	1321
236	5506	3224	clade11sub7subsub7	Central nervous system	225.28	145.44	59.4	195.6	143.28	52.3	241.84	183.6	65.1	1230
238	5530	3520	clade11sub48	Central nervous system	223.92	145.04	63.9	208.08	144.64	54.7	224.0	156.08	64.0	203
240	5759	3524	clade11sub48	Central nervous system	230.8	144.64	64.5	200.32	143.6	53.2	230.88	174.64	65.1	756
242	6255	3888	clade11sub8subsub0	Central nervous system	226.24	144.0	67.2	199.28	138.96	52.1	240.24	195.68	67.3	1475
244	5041	3225	clade9sub16	Developing neurons	227.44	132.64	57.6	209.84	132.64	55.4	227.52	157.28	58.8	251
246	5078	3227	clade9sub16	Developing neurons	229.52	135.68	57.8	209.28	135.68	54.9	229.6	148.48	59.0	189
248	5254	3223	nocladesub19	Developing neurons	225.68	128.8	59.6	197.36	128.8	39.5	225.76	178.88	60.3	1364
249	5077	3226	clade11sub48	Anterior nervous system	227.04	141.36	61.0	200.16	138.72	53.6	241.36	198.16	69.6	1140
251	5279	3222	clade11sub7subsub6	Developing neurons	225.44	136.16	59.8	198.72	136.16	53.5	225.52	176.08	68.4	1452
253	5039	3220	clade11sub7subsub6	Developing neurons	223.36	139.12	57.8	201.36	124.88	54.0	232.32	162.24	59.5	759
255	5040	3221	clade11sub7subsub6	Central nervous system	223.04	132.64	56.5	194.0	132.64	39.2	223.12	178.24	60.3	1277
257	5737	3522	clade11sub48	Anterior nervous system	226.56	140.8	63.0	194.08	140.8	41.4	226.64	177.36	63.1	1867
259	649	675	clade9sub7	Motile cilia	169.36	178.08	14.4	156.56	164.64	4.9	173.6	187.68	53.4	804
26	538	716	clade10sub19	Motile cilia	216.32	171.2	15.5	208.16	151.84	0.1	223.92	171.84	37.5	538
261	875	873	clade10sub19	Motile cilia	171.76	175.36	19.8	155.76	163.68	5.2	173.12	190.0	52.8	721
263	1008	869	clade10sub19	Motile cilia	167.36	174.48	20.7	152.4	162.64	4.2	169.36	188.16	46.0	833
265	743	674	clade9sub7	Motile cilia	166.16	171.2	18.0	156.96	163.6	5.7	173.84	185.36	52.5	723
269	1033	872	clade9sub7	Motile cilia	169.68	178.48	17.7	157.12	167.76	10.1	172.72	192.96	51.9	536
271	1035	875	clade11sub8subsub0	Motile cilia	174.72	180.8	18.8	153.68	161.76	4.9	174.96	192.88	57.6	811
273	1031	868	clade9sub7	Motile cilia	165.12	178.8	18.6	156.0	168.72	9.6	169.12	189.92	41.1	282
275	1009	876	clade11sub23	Central nervous system	175.84	176.96	18.4	156.4	164.08	4.8	176.88	184.8	56.5	786
277	1034	870	clade9sub7	Motile cilia	167.68	182.96	17.8	155.68	167.68	7.8	169.12	190.88	42.0	411
279	1172	1118	clade10sub8	Motile cilia	169.68	178.64	21.9	155.76	168.56	12.4	170.56	191.44	42.7	472
281	896	680	clade10sub9	Motile cilia	177.2	181.6	15.5	154.56	163.76	4.8	178.08	195.28	48.3	589
283	772	678	clade10sub9	Motile cilia	173.92	185.12	15.0	157.12	168.24	9.7	174.8	193.6	43.5	502
285	1032	874	clade10sub3subsub5-9	Motile cilia	171.52	182.72	20.1	154.8	164.72	4.6	172.24	194.4	46.6	569
287	774	734	clade10sub3subsub5-9	Motile cilia	177.28	186.96	14.7	157.68	167.12	8.8	177.52	191.84	47.6	768
289	6785	4317	nocladesub7	Adult eye	226.16	158.08	71.4	202.24	158.08	54.2	226.24	197.52	72.3	690
291	7261	4315	nocladesub7	Adult eye	226.0	154.48	74.2	204.72	154.48	54.6	226.08	194.64	74.3	599
293	6284	3945	clade11sub7subsub6	Central nervous system	222.8	162.56	71.8	200.88	153.44	57.6	224.4	172.48	74.1	1298
295	7263	4318	nocladesub7	Adult eye	231.92	161.84	73.2	204.72	160.08	54.5	232.0	195.04	73.3	615
297	7870	4644	clade11sub7subsub6	Adult eye	227.76	150.16	78.4	204.4	150.16	54.1	227.84	196.16	78.5	606
299	8067	4646	nocladesub7	Adult eye	230.32	155.04	80.8	205.12	155.04	54.9	230.4	192.72	80.9	610
3	6533	3944	clade11sub8subsub0	Central nervous system	220.72	164.64	68.6	209.04	164.64	56.8	220.8	179.76	68.8	499
30	1293	847	clade9sub7	Motile cilia	226.08	159.84	23.6	212.0	148.8	0.2	227.04	165.84	61.3	1331
301	7481	4647	nocladesub7	Adult eye	231.04	158.48	78.7	221.44	150.08	68.2	234.48	158.96	84.6	140
303	6758	114		unknown	232.4	148.24	77.6	216.4	142.96	68.6	234.88	160.64	82.6	159
305	7260	4309	clade11sub8subsub0	Developing neurons	218.64	158.96	74.5	195.92	158.96	52.3	218.72	196.64	74.6	860
307	8089	4648	clade11sub3subsub7	Anterior nervous system	233.2	163.36	78.5	220.32	158.56	69.2	233.28	163.84	78.6	99
309	7265	3956	nocladesub3	Adult eye	236.56	162.48	71.7	191.6	162.48	43.3	236.64	193.12	72.4	1441
311	6535	3948	nocladesub7	Adult eye	226.8	161.04	68.9	186.48	161.04	52.2	226.88	194.24	74.3	1390
313	7289	4030	clade11sub15subsub4	Central nervous system	228.24	171.28	72.1	200.8	151.52	60.9	228.32	171.36	72.3	179
315	7288	4029	clade11sub8subsub1-4	Central nervous system	229.04	168.4	70.8	186.0	164.24	64.4	229.12	190.48	70.9	678
317	7033	3950	clade11sub4subsub7	Developing neurons	229.04	164.4	69.8	201.76	164.32	55.9	229.12	197.92	73.9	868
319	7290	4032	clade13sub7	Developing neurons	234.16	168.96	71.6	195.52	166.0	65.3	234.24	183.28	72.8	534
32	745	6	clade10sub8	Motile cilia	170.08	174.24	15.3	156.8	165.6	5.0	174.0	184.32	54.6	953
321	1538	1010	clade9sub7	Developing neurons	191.44	143.36	28.4	176.08	130.16	5.4	204.72	147.04	58.5	454
323	967	819	clade11sub8subsub0	Developing neurons	195.92	146.0	20.2	176.16	131.92	5.3	201.36	150.8	51.4	522
325	1399	1019	clade10sub9	Developing neurons	200.64	144.4	22.3	176.96	128.88	5.4	208.32	147.04	51.2	466
327	1397	1015	clade11sub7subsub6	Developing neurons	195.2	145.04	25.1	177.36	126.48	5.2	205.52	146.32	50.3	573
329	1271	1053	clade11sub8subsub0	Developing neurons	193.04	148.08	23.3	180.4	140.64	13.2	202.32	149.84	45.7	309
33	2430	0	No_nuclei	No_nuclei	191.68	202.56	38.1	175.6	188.32	0.1	195.2	207.6	61.5	1974
331	950	812	clade9sub7	Developing neurons	188.88	145.92	21.3	175.2	136.24	7.7	199.52	149.84	45.6	365
333	1548	1057	clade11sub8subsub0	Developing neurons	197.92	148.0	26.1	173.84	124.64	6.0	205.84	148.08	55.2	539
335	1703	1348	clade11sub8subsub0	Developing neurons	198.72	152.08	27.0	177.92	129.68	8.2	207.44	180.16	63.6	800
337	1102	774	clade9sub7	Developing neurons	191.44	142.24	21.8	176.96	132.72	5.1	198.88	149.84	49.7	503
339	1396	1012	clade9sub7	Motile cilia	193.52	140.08	23.9	174.0	124.96	6.9	195.44	146.4	39.8	312
341	1108	10	clade10sub20	Motile cilia	197.52	141.92	20.3	176.32	125.76	5.9	208.64	145.28	47.9	533
343	1103	1018	clade10sub9	Motile cilia	200.0	139.92	23.3	181.52	133.04	5.7	202.8	142.16	36.5	266
345	953	778	clade9sub7	Motile cilia	195.76	137.92	20.8	181.92	132.56	5.8	200.4	140.08	27.2	93
347	1099	771	clade9sub7	Developing neurons	188.0	141.52	21.2	177.36	131.6	4.9	198.56	150.16	57.0	563
349	1253	772		unknown	191.12	136.88	18.2	181.52	132.72	5.6	193.84	138.08	21.6	71
351	969	833	clade10sub9	Motile cilia	211.52	152.48	23.7	210.48	143.52	0.6	222.56	161.68	59.2	455
353	1123	835	clade10sub3subsub5-9	Motile cilia	213.12	149.84	20.6	212.48	144.72	0.2	221.2	160.72	53.4	412
355	365	838	clade10sub3subsub5-9	Motile cilia	215.68	153.52	19.5	204.96	143.76	0.1	223.2	161.44	61.6	499
357	256	653	clade10sub19	Motile cilia	207.36	147.2	14.3	207.12	145.04	0.2	222.08	160.88	41.3	273
359	835	841	clade10sub9	Motile cilia	219.36	154.64	20.2	176.08	117.52	0.1	222.8	162.16	62.5	630
361	1125	1075	clade10sub9	Motile cilia	218.56	153.92	24.8	196.0	142.56	0.6	222.72	161.84	63.9	514
363	1124	1365	clade11sub4subsub6	Developing neurons	215.44	161.6	30.5	212.8	146.08	0.2	221.92	163.92	49.9	358
365	1415	1079	clade10sub9	Motile cilia	221.44	156.16	26.6	194.32	147.12	5.4	223.6	161.84	64.2	524
367	364	656	clade10sub9	Motile cilia	210.56	146.64	14.6	210.24	142.8	0.3	223.84	161.92	46.4	280
369	622	834	clade10sub3subsub5-9	Motile cilia	211.92	154.88	18.9	174.88	116.24	0.2	222.0	162.56	62.6	644
37	406	537	nocladesub3	Motile cilia	170.16	175.12	12.7	157.28	164.24	5.4	173.84	189.92	49.3	1323
371	730	832	clade11sub4subsub2-5-8	Motile cilia	209.84	160.8	18.6	203.52	148.08	0.2	221.52	163.12	64.4	526
373	995	837	clade11sub4subsub2-5-8	Motile cilia	212.56	159.92	20.8	188.72	148.24	0.1	221.12	180.72	65.5	642
375	734	839	clade11sub4subsub2-5-8	Motile cilia	216.32	160.08	19.3	203.28	146.08	0.1	221.52	162.96	64.1	541
377	733	1076	clade10sub9	Motile cilia	220.32	160.8	23.3	204.16	146.0	0.2	222.0	164.32	64.1	595
379	1428	1081	clade10sub9	Motile cilia	223.52	158.08	25.0	193.68	148.16	0.2	224.88	163.68	64.3	551
381	5858	3719	clade11sub30	Anterior nervous system	215.36	202.96	68.9	195.6	183.28	46.8	225.92	203.36	71.8	1134
385	6859	4097	clade11sub30	Anterior nervous system	218.24	197.44	67.6	192.96	173.76	41.2	218.32	197.52	72.3	668
