label_id	anchor_x	anchor_y	anchor_z	cells	trace_id	cell_type	nucleus_id
1	151.26556314011782	136.79440555480136	135.8425068218072	0	0	None	0
2	212.3848636295629	143.3789112073998	3.0167392254593355	0	0	None	0
3	212.82804269842566	150.69991564046452	7.712404437265563	1	0	None	657
4	211.7690839821145	145.6325599559779	8.16076280458863	1	0	None	516
5	215.74215722203166	144.5070952105862	1.812209688047224	0	0	None	0
6	196.3838980320188	152.49632330374516	5.875171260059688	1	0	None	438
7	205.52610126709405	152.91720978189912	0.5367099911286685	0	0	None	0
8	201.6697896325512	148.86264452521243	5.2013830554169145	1	0	None	440
9	202.51057813955967	148.4897232261104	8.618813740336401	1	0	None	507
10	207.98246018913227	149.55825738644702	0.9606074525944388	0	0	None	0
11	200.80770775187645	156.66272909170488	4.7980123727744415	1	0	None	439
12	208.50028777088718	148.02536661275116	0.4886367294999643	0	0	None	0
13	211.18195133629055	152.1655678619399	1.3037259093326672	0	0	None	0
14	207.8269462598608	145.4859709668165	7.221069872727944	1	0	None	447
15	212.10203809236862	161.54233185402128	6.071519554748508	1	0	None	449
16	202.23817531638844	152.09989921219932	6.689339005941611	1	0	None	443
17	213.6215353254478	152.38106172349092	1.1148150882548162	0	0	None	0
18	216.36692054468787	149.20051864236763	0.8151711902506031	0	0	None	0
19	217.89689861411256	153.72760772603402	12.69004249740444	1	0	None	660
20	181.52118521814918	160.75465984313283	2.0180865365003418	0	0	None	0
21	182.3198285414358	160.5823106082697	1.4457266577243846	0	0	None	0
22	182.89940319881137	159.83019627849527	1.951566513617769	0	0	None	0
23	183.9159889419452	159.14083186730338	1.4257696657451622	0	0	None	0
24	190.27408247255985	168.1958708939664	2.779650257656378	1	0	None	435
25	184.03099654691948	159.97156842551647	1.3881171624159434	0	0	None	0
26	183.7047953878183	159.0051111941494	1.9598796241926013	0	0	None	0
27	184.5619201661968	158.87846416382254	1.2614909482118992	0	0	None	0
28	184.53090238543632	159.69432831136226	1.3394695543000643	0	0	None	0
29	185.39697881486032	158.7933788762665	1.463125575683145	0	0	None	0
30	185.52459430331024	158.28353194765202	1.3379099307159366	0	0	None	0
31	180.4490650145064	168.1646816057394	5.10318716919155	1	0	None	453
32	185.28525536911945	158.14437477704328	2.5761142990888293	0	0	None	0
33	186.47692973116847	158.02482233164758	1.3808291189779116	0	0	None	0
34	187.56382336617176	158.04479048147638	1.2153878173997557	0	0	None	0
35	188.129061824451	158.57968896383767	3.593129176043025	0	0	None	0
36	196.9749693749185	159.5060319072055	3.136933832049335	1	0	epithelial	437
37	200.46416841940632	171.4520367618883	6.058738963311278	1	0	epithelial	461
38	192.07121020061444	180.23450757777766	0.4010323283605707	0	0	None	0
39	201.26781520646855	154.26624036834733	3.204004754517669	0	0	None	0
40	201.6529521616428	163.65521933554797	3.9783899665486375	1	0	None	442
41	205.2408010883782	154.56983538405225	4.863605139198764	1	0	epithelial	444
42	184.78644477050952	174.576010528353	3.4716363373207777	1	0	epithelial	456
43	187.7794220471052	173.18826221320808	0.6184761848455103	0	0	None	0
44	187.95712787924091	169.1913715333406	2.1286540104667355	0	0	None	0
45	193.57812819850875	167.3302096146351	0.6795766199450308	0	0	None	0
46	198.4199296070136	178.09288339977928	6.292304803157438	1	0	epithelial	459
47	178.99096675401142	176.70262127382466	6.598740244031951	1	0	epithelial	452
48	178.83197197100205	180.6738321858785	7.446591886948584	1	0	epithelial	1
49	179.5182420695324	183.3727918013171	0.2559786811451437	0	0	None	0
50	188.07448287373737	182.51817054383903	3.785027164204496	1	0	epithelial	455
51	193.42587461963245	176.36515031085617	4.660828023452592	0	0	None	0
52	172.15517612065918	195.12713845771287	0.640571830258511	0	0	None	0
53	175.75753237441018	188.16334772848091	6.858436428920762	1	0	epithelial	468
54	171.01128167717388	193.27085030322368	7.259348413932874	1	0	epithelial	465
55	175.64779518419076	185.14464704173213	5.313478855960174	1	0	epithelial	451
56	174.79078006748765	190.93958550579467	7.887954233755579	1	0	epithelial	467
57	185.43264222028301	192.91869632169528	6.144687978166928	1	0	None	472
58	173.7203772207482	195.8213239709518	9.178246276062726	1	0	None	466
59	183.9875693938706	185.1229946922109	4.2971010520322315	1	0	None	454
60	178.80830617541758	187.41670757838844	3.4231609963538063	0	0	None	0
61	180.4036852465345	185.07248334085997	2.4453234613780297	0	0	None	0
62	180.8005881593296	191.88691542788268	0.14447623113126287	0	0	None	0
63	187.38696862527942	189.8018511380865	4.998223681803035	1	0	None	473
64	187.88502032272297	189.96723639128524	1.4742382498990896	0	0	None	0
65	192.33644709302482	189.97459397091342	5.228627226097858	1	0	None	475
66	174.93946576826335	203.2262649231276	1.34152493079416	0	0	None	0
67	173.51956681462931	203.84557966303043	0.6689202205793878	0	0	None	0
68	177.48979863197502	203.2678285011147	13.626342165603035	1	0	None	733
69	177.90431661851028	200.44713269352084	6.958193190438683	1	0	None	575
70	178.33262676666317	194.75027713108696	2.028325551917186	0	0	None	0
71	180.8429360853487	196.16824626793428	0.7618973512498335	0	0	None	0
