label_id	clusters	morphologyColourScheme
7184	2	255-7-197-226
7642	5	255-181-131-84
6985	2	255-7-197-226
7433	3	255-98-0-122
7411	6	255-209-164-255
7209	5	255-181-131-84
7842	2	255-7-197-226
7457	2	255-7-197-226
7643	7	255-98-132-2
6480	8	255-222-69-200
7843	6	255-209-164-255
7659	8	255-222-69-200
7234	7	255-98-132-2
7459	7	255-98-132-2
3023	7	255-98-132-2
6484	7	255-98-132-2
7846	2	255-7-197-226
7268	5	255-181-131-84
7014	7	255-98-132-2
7875	2	255-7-197-226
7439	1	255-147-172-58
7214	10	255-114-16-255
7215	1	255-147-172-58
7016	2	255-7-197-226
7239	3	255-98-0-122
6795	2	255-7-197-226
6771	9	255-0-76-255
6990	6	255-209-164-255
7663	2	255-7-197-226
7466	6	255-209-164-255
7465	6	255-209-164-255
6969	6	255-209-164-255
7468	2	255-7-197-226
6994	6	255-209-164-255
7648	6	255-209-164-255
7446	6	255-209-164-255
6995	6	255-209-164-255
7445	1	255-147-172-58
7444	2	255-7-197-226
7669	2	255-7-197-226
7249	2	255-7-197-226
7447	2	255-7-197-226
7673	1	255-147-172-58
7251	2	255-7-197-226
7674	6	255-209-164-255
7252	2	255-7-197-226
7650	2	255-7-197-226
7253	2	255-7-197-226
7652	1	255-147-172-58
7451	9	255-0-76-255
7675	2	255-7-197-226
7653	9	255-0-76-255
7228	3	255-98-0-122
4751	9	255-0-76-255
6780	9	255-0-76-255
7001	9	255-0-76-255
2309	9	255-0-76-255
7477	2	255-7-197-226
7284	2	255-7-197-226
7678	2	255-7-197-226
7655	2	255-7-197-226
7257	2	255-7-197-226
7654	2	255-7-197-226
7692	2	255-7-197-226
6511	2	255-7-197-226
7478	2	255-7-197-226
7865	1	255-147-172-58
7258	2	255-7-197-226
7866	10	255-114-16-255
7455	5	255-181-131-84
7260	2	255-7-197-226
7231	2	255-7-197-226
7495	2	255-7-197-226
7285	2	255-7-197-226
7480	3	255-98-0-122
7868	1	255-147-172-58
7261	2	255-7-197-226
7679	1	255-147-172-58
6785	10	255-114-16-255
7263	2	255-7-197-226
7233	7	255-98-132-2
6570	8	255-222-69-200
7910	5	255-181-131-84
5589	9	255-0-76-255
7703	2	255-7-197-226
7716	2	255-7-197-226
7519	5	255-181-131-84
6549	5	255-181-131-84
7704	2	255-7-197-226
6797	10	255-114-16-255
7705	2	255-7-197-226
7294	2	255-7-197-226
7269	5	255-181-131-84
7718	2	255-7-197-226
6551	6	255-209-164-255
6547	9	255-0-76-255
6020	9	255-0-76-255
7244	3	255-98-0-122
7040	9	255-0-76-255
7684	3	255-98-0-122
7485	2	255-7-197-226
7898	3	255-98-0-122
7309	6	255-209-164-255
7273	1	255-147-172-58
6813	6	255-209-164-255
7296	3	255-98-0-122
7897	2	255-7-197-226
7041	1	255-147-172-58
7274	2	255-7-197-226
5566	9	255-0-76-255
7487	2	255-7-197-226
7276	2	255-7-197-226
7685	6	255-209-164-255
7490	2	255-7-197-226
7488	6	255-209-164-255
7900	2	255-7-197-226
7254	6	255-209-164-255
7280	6	255-209-164-255
7689	2	255-7-197-226
7902	2	255-7-197-226
7282	6	255-209-164-255
7919	9	255-0-76-255
7904	2	255-7-197-226
7905	2	255-7-197-226
7920	2	255-7-197-226
7691	2	255-7-197-226
7921	1	255-147-172-58
7507	2	255-7-197-226
7693	5	255-181-131-84
7709	1	255-147-172-58
7494	2	255-7-197-226
7496	1	255-147-172-58
7302	10	255-114-16-255
7511	2	255-7-197-226
7695	2	255-7-197-226
7907	2	255-7-197-226
7510	4	255-254-141-100
