label_id	clusters	morphologyColourScheme
8128	7	255-98-132-2
8683	4	255-254-141-100
8491	8	255-222-69-200
8512	4	255-254-141-100
8513	10	255-114-16-255
8888	1	255-147-172-58
8520	7	255-98-132-2
8336	5	255-181-131-84
8889	5	255-181-131-84
8714	10	255-114-16-255
8716	5	255-181-131-84
8891	5	255-181-131-84
8717	10	255-114-16-255
8517	7	255-98-132-2
7582	4	255-254-141-100
9079	8	255-222-69-200
9090	8	255-222-69-200
8898	8	255-222-69-200
9081	0	255-255-0-73
9077	8	255-222-69-200
8562	0	255-255-0-73
9088	0	255-255-0-73
8896	8	255-222-69-200
9096	8	255-222-69-200
9452	7	255-98-132-2
9453	8	255-222-69-200
9455	0	255-255-0-73
