label_id	curated_cell_type
13185	brain_TYR-DA-ACh_NSC_foxA_nk2-1
95	brain_TYR-DA-ACh_NSC_foxA_nk2-1
153	brain_TYR-DA-ACh_NSC_foxA_nk2-1
197	brain_TYR-DA-ACh_NSC_foxA_nk2-1
13418	brain_TYR-DA-ACh_NSC_foxA_nk2-1
355	brain_TYR-DA-ACh_NSC_foxA_nk2-1
13416	brain_TYR-DA-ACh_NSC_foxA_nk2-1
13217	brain_TYR-DA-ACh_NSC_foxA_nk2-1
13216	brain_TYR-DA-ACh_NSC_foxA_nk2-1
12567	brain_TYR-DA-ACh_NSC_foxA_nk2-1
12588	fg_GABA_SN_Dbx_Ptf1a
12566	fg_GABA_SN_Dbx_Ptf1a
12564	fg_GABA_SN_Dbx_Ptf1a
13399	fg_GABA_SN_Dbx_Ptf1a
12364	fg_GABA_SN_Dbx_Ptf1a
12341	fg_GABA_SN_Dbx_Ptf1a
14000	fg_GABA_SN_Dbx_Ptf1a
13171	fg_GABA_SN_Dbx_Ptf1a
13170	fg_GABA_SN_Dbx_Ptf1a
12516	fg_GABA_SN_Dbx_Ptf1a
12955	fg_GABA_SN_Dbx_Ptf1a
13668	fg_GABA_SN_Dbx_Ptf1a
12732	fg_GABA_SN_Dbx_Ptf1a
12754	fg_GABA_SN_Dbx_Ptf1a
12710	fg_GABA_SN_Dbx_Ptf1a
12314	fg_GABA_SN_Dbx_Ptf1a
12115	fg_GABA_SN_Dbx_Ptf1a
12730	fg_GABA_SN_Dbx_Ptf1a
12994	fg_GABA_SN_Dbx_Ptf1a
12992	fg_GABA_SN_Dbx_Ptf1a
12770	fg_GABA_SN_Dbx_Ptf1a
12098	fg_GABA_SN_Dbx_Ptf1a
12790	fg_GABA_SN_Dbx_Ptf1a
13186	fg_GABA_SN_Dbx_Ptf1a
13185	fg_GABA_SN_Dbx_Ptf1a
14046	fg_GABA_SN_Dbx_Ptf1a
13418	fg_GABA_SN_Dbx_Ptf1a
12988	fg_GABA_SN_Dbx_Ptf1a
13416	fg_GABA_SN_Dbx_Ptf1a
13217	fg_GABA_SN_Dbx_Ptf1a
13216	fg_GABA_SN_Dbx_Ptf1a
12567	fg_GABA_SN_Dbx_Ptf1a
24908	ls_GABA_cSN_Dbx_Ptf1a
24909	ls_GABA_cSN_Dbx_Ptf1a
9274	ls_GABA_cSN_Dbx_Ptf1a
9276	ls_GABA_cSN_Dbx_Ptf1a
9156	ls_GABA_cSN_Dbx_Ptf1a
9277	ls_GABA_cSN_Dbx_Ptf1a
9475	ls_GABA_cSN_Dbx_Ptf1a
9115	ls_GABA_cSN_Dbx_Ptf1a
24753	ls_GABA_cSN_Dbx_Ptf1a
9158	ls_GABA_cSN_Dbx_Ptf1a
24754	ls_GABA_cSN_Dbx_Ptf1a
9114	ls_GABA_cSN_Dbx_Ptf1a
9117	ls_GABA_cSN_Dbx_Ptf1a
9119	ls_GABA_cSN_Dbx_Ptf1a
17583	ls_GABA_cSN_Dbx_Ptf1a
9118	ls_GABA_cSN_Dbx_Ptf1a
8945	ls_GABA_cSN_Dbx_Ptf1a
8749	ls_GABA_cSN_Dbx_Ptf1a
8946	ls_GABA_cSN_Dbx_Ptf1a
16455	ls_GABA_cSN_Dbx_Ptf1a
15921	ls_GABA_cSN_Dbx_Ptf1a
15724	ls_GABA_cSN_Dbx_Ptf1a
8193	ls_GABA_cSN_Dbx_Ptf1a
8196	ls_GABA_cSN_Dbx_Ptf1a
8195	ls_GABA_cSN_Dbx_Ptf1a
8154	ls_GABA_cSN_Dbx_Ptf1a
8352	ls_GABA_cSN_Dbx_Ptf1a
8354	ls_GABA_cSN_Dbx_Ptf1a
8156	ls_GABA_cSN_Dbx_Ptf1a
8353	ls_GABA_cSN_Dbx_Ptf1a
24910	ls_GABA_cSN_Dbx_Ptf1a
8155	ls_GABA_cSN_Dbx_Ptf1a
8357	ls_GABA_cSN_Dbx_Ptf1a
7984	ls_GABA_cSN_Dbx_Ptf1a
17230	ls_GABA_cSN_Dbx_Ptf1a
16265	ls_GABA_cSN_Dbx_Ptf1a
16266	ls_GABA_cSN_Dbx_Ptf1a
24284	ls_GABA_cSN_Dbx_Ptf1a
16223	ls_GABA_cSN_Dbx_Ptf1a
8916	ls_GABA_cSN_Dbx_Ptf1a
15931	ls_GABA_cSN_Dbx_Ptf1a
15932	ls_GABA_cSN_Dbx_Ptf1a
16789	ls_GABA_cSN_Dbx_Ptf1a
24921	ls_GABA_cSN_Dbx_Ptf1a
25106	ls_GABA_cSN_Dbx_Ptf1a
24776	ls_GABA_cSN_Dbx_Ptf1a
8404	ls_GABA_cSN_Dbx_Ptf1a
8008	ls_GABA_cSN_Dbx_Ptf1a
16790	ls_GABA_cSN_Dbx_Ptf1a
8405	ls_GABA_cSN_Dbx_Ptf1a
15980	ls_GABA_cSN_Dbx_Ptf1a
16871	ls_GABA_cSN_Dbx_Ptf1a
24570	ls_GABA_cSN_Dbx_Ptf1a
16476	ls_GABA_cSN_Dbx_Ptf1a
15982	ls_GABA_cSN_Dbx_Ptf1a
17206	ls_GABA_cSN_Dbx_Ptf1a
17205	ls_GABA_cSN_Dbx_Ptf1a
16558	ls_GABA_cSN_Dbx_Ptf1a
16559	ls_GABA_cSN_Dbx_Ptf1a
16879	ls_GABA_cSN_Dbx_Ptf1a
8174	ls_GABA_cSN_Dbx_Ptf1a
24419	ls_GABA_cSN_Dbx_Ptf1a
8374	ls_GABA_cSN_Dbx_Ptf1a
8770	ls_GABA_cSN_Dbx_Ptf1a
8970	ls_GABA_cSN_Dbx_Ptf1a
24742	ls_GABA_cSN_Dbx_Ptf1a
8971	ls_GABA_cSN_Dbx_Ptf1a
24263	ls_GABA_cSN_Dbx_Ptf1a
8736	ls_GABA_cSN_Dbx_Ptf1a
8735	ls_GABA_cSN_Dbx_Ptf1a
25271	ls_GABA_cSN_Dbx_Ptf1a
