label_id	nucleus_id
1	0
2	0
3	657
4	516
5	0
6	438
7	0
8	440
9	507
10	0
11	439
12	0
13	0
14	447
15	449
16	443
17	0
18	0
19	660
20	0
21	0
22	0
23	0
24	435
25	0
26	0
27	0
28	0
29	0
30	0
31	453
32	0
33	0
34	0
35	0
36	437
37	461
38	0
39	0
40	442
41	444
42	456
43	0
44	0
45	0
46	459
47	452
48	1
49	0
50	455
51	0
52	0
53	468
54	465
55	451
56	467
57	472
58	466
59	454
60	0
61	0
62	0
63	473
64	0
65	475
66	0
67	0
68	733
69	575
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	433
78	434
79	0
80	3056
81	0
82	0
83	509
84	513
85	511
86	0
87	521
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	445
145	446
146	0
147	0
148	0
149	463
150	539
151	0
152	0
153	457
154	695
155	0
156	0
157	462
158	450
159	0
160	460
161	0
162	0
163	464
164	0
165	0
166	470
167	0
168	474
169	476
170	0
171	580
172	0
173	958
174	578
175	0
176	0
177	508
178	502
179	0
180	487
181	0
182	512
183	448
184	0
185	614
186	517
187	520
188	0
189	526
190	667
191	0
192	0
193	0
194	618
195	0
196	538
197	0
198	0
199	0
200	436
201	0
202	441
203	0
204	565
205	522
206	0
207	533
208	532
209	0
210	0
211	0
212	0
213	0
214	548
215	0
216	566
217	0
218	573
219	0
220	0
221	458
222	709
223	571
224	0
225	469
226	576
227	471
228	0
229	574
230	955
231	738
232	579
233	987
234	581
235	480
236	0
237	0
238	482
239	0
240	594
241	0
242	479
243	500
244	0
245	0
246	483
247	0
248	485
249	3
250	0
251	486
252	0
253	496
254	0
255	515
256	653
257	488
258	524
259	0
260	0
261	493
262	0
263	0
264	0
265	0
266	0
267	559
268	514
269	713
270	519
271	567
272	661
273	0
274	0
275	0
276	666
277	670
278	669
