label_id	max_first_view	best_first_view_type	colour_first_view
7048	8.808523302867076e-20	nocladesub12	255-122-4-2
7049	2.394092068230114e-18	nocladesub22	255-101-252-104
7050	1.870566486830135e-12	nocladesub20	255-212-231-53
7051	2.095324314677783e-16	nocladesub20	255-212-231-53
7052	3.210887977582534e-16	nocladesub22	255-101-252-104
7053	6.573361695166502e-17	nocladesub22	255-101-252-104
7054	1.5016183526014504e-12	nocladesub22	255-101-252-104
7055	1.6612920239644773e-15	nocladesub20	255-212-231-53
7056	4.9357417699877043e-14	nocladesub20	255-212-231-53
7057	7.377668290647921e-14	nocladesub2	255-70-122-242
7058	1.7617872621953303e-16	nocladesub22	255-101-252-104
7059	1.2553345436358934e-17	nocladesub22	255-101-252-104
7060	8.30831575526208e-22	nocladesub22	255-101-252-104
7061	8.892320661714339e-22	nocladesub22	255-101-252-104
7062	2.623393671829862e-16	nocladesub22	255-101-252-104
7063	9.158505643113896e-20	nocladesub22	255-101-252-104
7064	2.1109547309379162e-17	nocladesub12	255-122-4-2
7065	6.09409170358015e-23	nocladesub10	255-26-209-210
7066	1.9017866586172168e-19	nocladesub22	255-101-252-104
7067	3.9017030288994846e-11	nocladesub22	255-101-252-104
7068	1.0350135848527442e-14	nocladesub12	255-122-4-2
7069	6.901683293816722e-23	nocladesub12	255-122-4-2
7070	9.712928883735523e-16	nocladesub20	255-212-231-53
7071	2.75402952891547e-13	nocladesub22	255-101-252-104
7072	2.756944869858524e-14	nocladesub12	255-122-4-2
7073	2.0930182458252262e-09	nocladesub22	255-101-252-104
7074	6.090719811607815e-07	nocladesub22	255-101-252-104
7075	1.5149783266215586e-13	nocladesub22	255-101-252-104
7076	3.127706117236201e-05	nocladesub22	255-101-252-104
7077	1.7221972890129137e-12	nocladesub22	255-101-252-104
7078	1.882849253844613e-11	nocladesub22	255-101-252-104
7079	2.3447162440213347e-11	nocladesub12	255-122-4-2
7080	1.2325278933978037e-13	nocladesub22	255-101-252-104
7081	0.0002446844573315	nocladesub22	255-101-252-104
7082	6.39014014681732e-14	nocladesub22	255-101-252-104
7083	3.256993447942673e-15	nocladesub12	255-122-4-2
