label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
112	164.8000030517578	162.87998962402344	73.20000457763672	161.12	159.44	70.7	168.48	165.76	76.2	90243
130	181.27999877929688	156.16000366210938	87.0	178.48	153.68	84.2	185.28	159.44	88.80000000000003	93700
139	184.63999938964844	159.36000061035156	94.0	179.04	154.88	91.2	187.2	161.20000000000005	96.9	44230
260	159.83999633789062	160.47999572753906	152.1999969482422	153.76	157.20000000000005	150.20000000000005	162.08	165.68	153.70000000000005	116634
436	193.27999877929688	159.51998901367188	6.800000190734862	191.36	157.52	4.5	195.76	162.0	9.4	62444
465	170.72000122070312	191.67999267578125	6.0	168.72	189.28	3.0	172.16	196.72	10.6	121990
468	176.95999145507812	186.0800018310547	8.800000190734863	172.96	183.2	4.4	178.72	190.08	11.8	134409
758	171.83999633789062	208.9599914550781	16.200000762939453	170.32	204.8	14.1	177.76	213.28	19.3	132231
799	168.16000366210938	159.1999969482422	19.80000114440918	166.16	156.4	16.1	170.32	162.96	23.0	79433
801	172.95999145507812	154.0800018310547	19.200000762939453	170.48	151.04	16.7	175.84	157.44	24.700000000000006	112618
807	183.3600006103516	160.8000030517578	17.399999618530273	180.64	155.84	15.0	185.44	162.96	19.9	68798
1037	165.1199951171875	165.1199951171875	24.399999618530273	160.32	162.56	20.9	168.24	166.72	27.6	125560
1322	156.47999572753906	157.59999084472656	28.0	154.0	154.48	25.5	159.92000000000004	160.8	31.3	123980
1323	155.1999969482422	161.75999450683594	31.20000076293945	153.6	160.0	26.4	159.44	164.4	35.4	90637
1592	182.55999755859372	116.31999969482422	35.20000076293945	179.68	114.32	30.8	184.88	120.8	38.7	116412
1666	155.83999633789062	154.239990234375	39.0	151.6	151.76	34.6	159.28	156.4	41.2	112726
2312	165.9199981689453	139.83999633789062	46.4000015258789	163.44	135.92000000000002	44.1	168.64	141.44	49.2	89268
2637	160.16000366210938	137.91999816894528	49.79999923706055	158.56	134.4	46.3	162.32	140.88	52.90000000000001	105609
2702	150.55999755859375	151.36000061035156	50.79999923706055	147.52	149.44	46.2	152.88	154.16	53.3	96023
2704	152.16000366210938	148.16000366210938	51.4000015258789	148.56	146.4	48.5	154.24	150.72	56.40000000000001	105148
2926	158.239990234375	139.19999694824222	53.20000076293945	156.08	135.2	50.2	160.32	141.92000000000004	56.8	94580
3248	155.1999969482422	162.39999389648438	60.79999923706055	153.68	159.20000000000005	57.90000000000001	161.12	165.36	63.5	123936
3249	162.87998962402344	160.63999938964844	61.79999923706055	160.24	158.0	59.7	164.64	164.56	64.7	98511
3250	163.83999633789062	163.67999267578125	58.0	162.32	160.88	55.0	168.0	167.04	62.40000000000001	122280
3254	173.9199981689453	153.59999084472656	62.20000076293945	170.96	151.36	59.8	176.64	157.52	65.9	111610
3255	175.0399932861328	150.0800018310547	60.0	172.56	148.08	55.3	178.48	153.6	63.2	120445
3256	177.27999877929688	155.1999969482422	59.4000015258789	174.8	153.28	57.40000000000001	182.08	157.12	62.3	93981
3258	179.0399932861328	158.39999389648438	60.60000228881836	176.88	156.16	58.7	183.68	160.88	64.10000000000001	97831
3285	122.87999725341795	173.75999450683594	62.20000076293945	121.36	170.24	57.5	126.0	179.04	64.0	114307
3488	169.59999084472656	144.3199920654297	64.59999847412111	167.20000000000005	141.20000000000005	62.3	172.24	146.48	67.60000000000001	99922
3534	154.239990234375	158.239990234375	66.80000305175781	152.16	154.72	64.2	158.72	160.96	69.4	116933
3535	156.47999572753906	160.95999145507812	64.40000152587889	153.84	158.16	62.2	158.48	163.36	67.5	81221
3536	160.16000366210938	158.72000122070312	64.59999847412111	158.48	156.24	62.6	165.52	162.24	67.2	108450
3537	168.47999572753906	160.47999572753906	62.4000015258789	165.04	158.08	60.0	170.72	164.56	66.2	114280
