label_id	aka	comment	source_file	first_node_zyx_nm	n_nodes	nmx_in_traces	nmx_in_data	cell_group_dir	min_dist_nucleus_um	closest_nucleus_id	in_platybrowser
28	0.11	non-commissural: p0 / V0 class	mouse_Mouse_mouse.044.nmx	90925|154124|127124	11	mouse/Mouse/mouse.044.nmx	data/data_Tracing/mouse/Mouse/mouse.044.nmx	mouse	6.68	213	False
29	0.1	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	91675|118160|154130	102	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	1.46	8184	False
30	0.0	non-commissural: Hb9 motoneuron / 2_Motoneurons	david_2_Motoneurons_Tracing_Hb9_Hb9_tracing.009.nmx	95425|133328|133148	139	david/2_Motoneurons/Tracing/Hb9/Hb9_tracing.009.nmx	data/Projects/2_Motoneurons/Tracing/Hb9/Hb9_tracing.009.nmx	david	2.92	7492	False
31	15.001	non-commissural: Hb9 motoneuron / 2_Motoneurons	commissural_all_comm_sec_seg.nmx	95425|133512|133483	469	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.53	7642	False
32	1.0	non-commissural: big-chain extra cell	david_1_Commissures_Tracing_old versions and back-ups_Commissures tracing_old_commissral_interneuron_1.070.nmx	99050|130496|138684	907	david/1_Commissures/Tracing/old versions and back-ups/Commissures tracing_old/commissral_interneuron_1.070.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Commissures tracing_old/commissral_interneuron_1.070.nmx	david	1.29	7680	False
33	10.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	99200|131491|138048	426	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.61	7300	False
34	12.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	99450|131389|138396	360	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	1.61	8240	False
35	0.13	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	99550|111411|150233	181	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	1.12	7263	False
36	11.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	99550|131226|138323	650	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.38	8463	False
37	13.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	99550|131531|138489	425	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	1.16	8184	False
38	14.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	100025|131649|138015	241	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	1.81	7680	False
39	15	non-commissural: big-chain extra cell	david_1_Commissures_Tracing_old versions and back-ups_Commissures tracing_old_commissral_interneuron_1.126.nmx	100025|132194|138227	542	david/1_Commissures/Tracing/old versions and back-ups/Commissures tracing_old/commissral_interneuron_1.126.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Commissures tracing_old/commissral_interneuron_1.126.nmx	david	1.00	8238	False
40	17.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	101028|131305|138705	582	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.31	8238	False
41	16.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	101028|131821|138503	254	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	1.39	8184	False
42	15.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	101077|134689|138204	468	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	1.00	8238	False
43	18.0	non-commissural: big-chain extra cell	david_1_Commissures_Tracing_old versions and back-ups_Commissures tracing_old_commissral_interneuron_1.168.nmx	101078|131110|138356	769	david/1_Commissures/Tracing/old versions and back-ups/Commissures tracing_old/commissral_interneuron_1.168.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Commissures tracing_old/commissral_interneuron_1.168.nmx	david	1.21	7422	False
44	19.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	101478|131354|138112	790	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	1.46	7680	False
45	20.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	102828|132390|138758	390	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.54	7492	False
46	0.14	non-commissural: p0 / V0 class	david_1_Commissures_Tracing_biased_old_p0v0_all.nmx	108750|105033|144873	167	david/1_Commissures/Tracing/biased/old/p0v0_all.nmx	data/Projects/1_Commissures/Tracing/biased/old/p0v0_all.nmx	david	0.88	7425	False
47	2.1	non-commissural: big-chain extra cell	commissural_all_comm_sec_seg.nmx	131192|130325|133926	414	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.26	7304	False
48	1.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	133376|126747|135507	422	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.19	7657	True
49	164.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	133594|127424|135062	195	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.61	7914	True
50	165.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	133694|127021|135040	219	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.37	7401	True
51	166.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	134044|127052|135009	138	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.22	7656	True
52	167.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	134244|127568|135057	90	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	2.37	7305	True
53	169.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	134494|127462|135057	61	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.87	7067	True
54	170.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	134544|127175|134797	116	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.75	7271	True
55	168.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	134694|127467|135238	80	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	2.28	7917	True
56	171.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	135294|126337|135662	191	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.88	6873	True
57	45.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	135826|126783|135319	832	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.31	6870	True
58	172.2	commissural (finished group)	david_1_Commissures_Tracing_old versions and back-ups_Remaining_Remaining_comm_.806.nmx	135994|126280|135366	163	david/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.806.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.806.nmx	david	0.44	6871	True
59	173.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	136044|126920|135406	73	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.08	6870	True
60	175.2	commissural (finished group)	david_1_Commissures_Tracing_old versions and back-ups_Remaining_Remaining_comm_.727.nmx	136094|126302|135106	137	david/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.727.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.727.nmx	david	2.39	7284	True
61	174.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	136094|126642|135348	129	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.85	257	True
62	177.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	136294|126673|135600	168	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.56	6652	True
63	176.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	136444|126730|135542	172	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.23	6873	True
64	179.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	136994|126172|135508	139	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.37	6873	True
65	180.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	137194|126569|135846	182	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.48	6873	True
66	178.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	137294|126236|135366	107	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.27	6873	True
67	181.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	139044|124927|135391	112	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.82	6875	True
68	160.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	140619|127562|132406	77	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.87	6875	True
69	159.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	140694|125845|132818	138	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.42	6872	True
70	182.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	140744|125765|134601	54	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.65	6875	True
71	183.2	commissural (finished group)	david_1_Commissures_Tracing_old versions and back-ups_Remaining_Remaining_comm_.746.nmx	140744|125878|134332	64	david/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.746.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.746.nmx	david	1.49	6875	True
72	1098.004	non-commissural: big-chain extra cell	david_1_Commissures_Tracing_old versions and back-ups_Tracing commissures V2_Commissures.nmx	140969|127846|132811	26	david/1_Commissures/Tracing/old versions and back-ups/Tracing commissures V2/Commissures.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Tracing commissures V2/Commissures.nmx	david	0.41	6875	False
73	162.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	140994|125214|132429	193	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.22	6875	True
74	154.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	140994|125588|134463	81	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.93	6875	True
75	156.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141044|124869|132753	167	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.66	6611	True
76	152.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141044|125815|133318	193	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.47	6387	True
77	1090.0	commissural (finished group)	david_1_Commissures_Tracing_old versions and back-ups_Remaining_Remaining_comm_.015.nmx	141044|126417|133639	119	david/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.015.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.015.nmx	david	0.75	6924	True
78	155.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141044|126447|134427	127	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.29	7440	True
79	151.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141219|124695|132796	173	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.04	7857	True
80	184.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141294|125452|134592	92	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.25	6875	True
81	128.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141514|125178|133568	360	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.73	7431	True
82	163.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141544|125192|131644	202	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.63	7647	True
83	10.2	commissural (finished group)	commissural_unfinished_unifnished_comm_sec_seg.014.nmx	141560|125455|133129	218	commissural/unfinished/unifnished_comm_sec_seg.014.nmx	data/data_Tracing/commissural/unfinished/unifnished_comm_sec_seg.014.nmx	commissural	1.02	6876	True
84	147.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141844|124338|132832	129	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.90	6875	True
