label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	in_platybrowser_0_1	origin_dir
207	123.39	116.11	157.86	145.71	108.22	111.24	166.83	122.84	137.47	226	1	commissural
208	123.66	116.36	158.06	157.37	92.13	119.01	167.00	123.79	144.59	165	1	commissural
209	123.00	116.76	158.23	146.22	105.04	101.20	162.14	126.71	139.73	237	1	commissural
210	133.28	102.86	158.61	158.61	49.94	118.04	234.18	103.87	153.16	776	0	david
211	122.70	116.15	158.88	108.61	103.35	120.20	161.59	151.03	134.36	562	1	david
212	212.72	121.54	158.96	143.87	107.54	200.49	180.95	125.18	214.44	357	1	commissural
213	122.73	116.24	159.13	140.64	107.34	104.52	213.36	126.19	137.10	451	1	commissural
214	122.08	116.28	159.73	152.61	105.18	117.66	160.41	132.71	144.94	203	1	david
215	122.10	115.61	159.78	145.11	107.78	115.28	164.44	142.84	144.97	406	1	commissural
216	123.43	114.55	160.46	149.49	73.30	108.42	160.51	128.79	150.13	450	1	commissural
217	130.85	91.57	160.65	158.12	89.49	129.36	170.95	102.35	137.91	40	0	commissural
218	122.30	115.16	160.88	111.15	109.66	85.77	192.40	132.58	142.48	702	1	commissural
219	122.87	114.38	161.18	107.64	101.86	118.14	166.82	144.48	148.50	548	1	david
220	155.90	71.83	161.39	150.97	70.35	147.90	176.49	84.26	193.70	348	0	commissural
221	105.02	128.92	163.53	104.26	123.84	105.02	164.78	144.97	131.81	177	0	commissural
222	109.21	128.98	163.53	161.34	122.14	109.21	168.52	131.38	120.12	88	0	commissural
223	130.21	102.68	164.89	164.89	49.94	118.04	234.18	102.76	153.16	703	0	commissural
224	119.76	113.42	166.05	117.44	107.91	105.82	215.85	130.08	151.16	710	1	david
225	120.04	113.89	166.09	151.39	80.37	117.36	177.67	124.73	128.55	354	1	commissural
226	120.49	112.53	166.15	152.64	102.42	110.34	218.16	121.78	129.40	352	1	commissural
227	120.49	111.44	166.47	164.03	87.16	111.30	223.88	112.83	145.50	315	1	david
228	107.15	132.82	166.58	165.35	127.84	101.87	166.58	132.83	109.82	12	0	commissural
229	118.45	113.71	166.76	104.50	93.89	113.94	174.61	151.76	134.87	553	1	commissural
230	120.71	113.18	166.82	155.58	99.70	101.40	172.43	128.34	129.46	327	1	commissural
231	122.36	111.34	166.88	149.33	106.62	106.29	167.85	131.61	137.13	326	1	commissural
232	122.15	112.09	166.97	158.59	75.87	109.80	178.85	146.32	136.23	683	1	commissural
233	131.75	89.52	167.00	166.75	88.74	130.41	168.65	90.76	137.28	29	0	commissural
234	122.20	111.75	167.04	165.36	101.30	100.59	171.57	123.04	132.79	318	1	david
235	123.18	110.71	167.08	162.17	95.46	115.16	171.37	124.90	128.34	242	1	commissural
236	131.48	89.06	167.13	164.00	87.27	126.86	175.90	110.08	138.34	160	0	commissural
