label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	trust	nucleus_id	traces
7440	132.31	123.61	143.94	113.83	114.72	122.29	140.05	152.95	158.04	742	1	unique-close	7440	113
7446	132.40	124.02	142.19	123.31	93.59	137.29	153.84	130.63	157.71	304	1	curated	7446	88
7447	125.52	114.84	156.76	108.73	108.78	139.00	157.12	118.24	157.06	370	1	curated	7447	200
7448	132.83	124.34	141.84	117.94	107.60	133.59	157.04	130.77	168.72	258	1	curated	7448	84
7450	135.04	127.02	133.69	120.16	80.94	129.94	159.36	143.29	151.78	438	1	curated	7450	50
7452	134.46	125.59	140.99	113.09	104.96	135.47	172.96	130.69	143.21	162	1	curated	7452	74
7464	130.76	122.40	147.34	109.60	119.45	137.50	136.86	137.01	151.52	256	1	curated	7464	137
7558	142.91	92.09	143.75	133.61	77.44	140.70	152.32	92.09	149.78	262	1	unique-close	7558	108
7590	120.13	113.14	169.70	105.26	97.28	142.70	129.28	122.78	190.34	550	1	curated	7590	256
7595	122.20	111.75	167.04	100.59	91.20	140.10	134.16	123.04	171.57	636	1	curated	7595	234
7602	133.35	125.39	141.86	132.92	97.04	135.73	145.99	126.78	147.70	212	1	unique-close	7602	86
7606	129.93	122.54	147.41	124.45	92.80	111.20	146.79	150.28	150.70	718	1	curated	7606	138
7623	123.66	116.36	158.06	119.01	89.52	142.40	167.84	123.79	167.00	330	1	unique-close	7623	208
7642	133.48	133.51	95.42	105.44	105.63	95.38	146.36	144.71	182.66	938	1	unique-close	7642	31
7647	131.64	125.19	141.54	112.24	105.04	108.52	152.32	127.93	148.70	404	1	unique-close	7647	82
7650	121.39	110.64	168.47	93.62	94.84	140.10	126.91	125.87	195.24	772	1	curated	7650	242
7651	133.64	124.52	142.86	99.94	98.61	136.22	140.75	138.21	154.54	534	1	curated	7651	98
7652	121.74	113.38	167.53	105.92	76.53	143.90	135.19	132.52	175.60	678	1	curated	7652	240
7656	135.01	127.05	134.04	126.19	107.02	128.18	152.39	136.43	146.90	276	1	unique-close	7656	51
7657	128.76	122.03	148.76	121.23	101.14	110.94	155.72	127.76	151.26	1078	1	curated	7657	150
7661	147.01	98.36	146.44	109.76	90.45	140.10	149.36	121.05	231.24	974	1	unique-close	7661	130
7665	132.45	123.99	144.04	122.64	105.04	129.82	157.36	147.07	149.30	278	1	curated	7665	115
7667	132.16	122.89	145.66	130.11	109.36	140.91	158.80	129.34	146.86	212	1	curated	7667	124
7683	132.59	144.73	81.67	100.88	123.36	81.67	144.96	150.28	145.60	320	1	unique-close	7683	17
7684	133.12	125.48	143.00	102.40	111.03	131.13	139.30	139.28	148.02	312	1	curated	7684	99
7696	131.75	125.00	141.99	117.28	107.00	98.38	137.12	154.64	146.00	412	1	curated	7696	87
7698	128.23	121.53	147.81	116.76	93.23	140.70	147.60	146.88	159.55	620	1	curated	7698	141
7700	132.82	125.84	140.69	114.01	118.48	120.77	138.99	145.44	145.90	276	1	curated	7700	69
7701	132.58	123.69	144.01	123.76	113.86	125.51	148.11	148.78	150.68	530	1	curated	7701	114
7703	130.07	121.81	146.84	126.27	115.06	141.10	158.80	150.48	150.04	84	1	curated	7703	133
7734	132.75	124.87	141.04	114.80	113.56	116.17	134.41	154.16	157.65	334	1	curated	7734	75
7741	132.69	125.19	143.30	125.87	103.53	135.24	142.34	148.80	151.20	292	1	curated	7741	102
7807	155.90	71.83	161.39	147.90	70.35	147.90	193.70	84.26	176.49	696	1	unique-close	7807	220
7858	125.07	116.51	154.61	119.97	90.56	144.78	137.62	126.65	168.51	561	2	curated	7858	181;237
7860	132.35	125.46	142.56	130.51	88.88	136.38	147.04	128.37	150.10	176	1	curated	7860	95
7898	121.17	110.59	168.73	101.25	75.61	145.00	149.92	121.45	173.19	716	1	curated	7898	244
7901	122.70	116.15	158.88	109.20	103.12	108.61	134.36	151.03	161.59	1124	1	curated	7901	211
7912	128.48	122.02	148.77	107.10	103.12	139.00	140.19	140.82	153.20	438	1	curated	7912	151
7914	129.09	122.02	148.76	110.98	97.01	139.84	139.26	137.15	157.46	972	1	curated	7914	149
7915	122.08	116.28	159.73	117.66	105.18	146.40	144.94	132.71	160.41	406	1	curated	7915	214
7916	119.95	112.06	169.03	104.79	102.70	100.60	156.56	121.29	178.59	1412	1	curated	7916	249
7917	135.32	126.78	135.83	113.03	96.84	125.77	147.88	146.38	193.62	1664	1	curated	7917	57
7921	124.63	117.61	154.93	107.35	71.35	141.46	214.15	126.55	180.65	1748	1	curated	7921	183
7922	123.66	116.58	154.43	102.90	106.88	96.24	165.94	123.29	158.73	1142	1	curated	7922	180
7957	124.12	117.64	155.78	115.86	95.76	145.70	136.56	143.60	160.58	518	1	curated	7957	192
7959	125.83	118.69	152.43	125.35	97.83	99.34	152.57	138.96	152.69	1034	1	curated	7959	174
8009	125.59	117.89	152.33	106.01	105.22	97.55	164.23	157.20	204.60	1476	1	curated	8009	171
8137	119.88	112.55	169.57	113.51	85.52	56.48	142.52	176.71	170.12	1188	1	curated	8137	254
8158	133.57	125.18	141.51	124.16	94.96	110.67	155.76	145.79	154.20	720	1	curated	8158	81
8160	123.18	110.71	167.08	115.16	95.46	152.70	157.76	124.90	171.37	484	1	curated	8160	235
8191	152.34	119.57	85.00	106.56	118.19	85.00	157.75	127.75	154.90	310	1	unique-close	8191	22
8194	125.10	117.15	156.26	85.77	101.20	111.15	142.48	132.58	192.40	1180	2	curated	8194	197;218
8202	128.91	120.60	149.51	116.96	70.70	140.61	187.35	125.60	176.34	2142	1	curated	8202	161
8236	142.76	119.00	84.78	91.84	118.39	84.78	157.92	130.56	161.00	246	1	unique-close	8236	20
8240	138.40	131.39	99.45	97.12	124.16	83.77	155.19	148.01	158.60	720	1	unique-close	8240	34
8423	120.83	111.56	169.23	113.12	94.56	87.66	134.22	154.13	169.98	1220	1	curated	8423	250
8431	123.00	116.76	158.23	101.20	85.68	146.22	145.12	126.71	162.14	474	1	curated	8431	209
8433	120.50	111.88	168.78	107.52	96.64	159.10	142.64	126.12	209.18	1406	1	curated	8433	245
8434	131.95	122.75	145.51	124.97	88.80	142.06	145.28	142.28	163.50	160	1	curated	8434	123
8435	118.45	113.71	166.76	113.94	90.96	104.50	146.08	151.76	174.61	1106	1	curated	8435	229
8440	129.28	119.93	150.21	125.49	89.12	139.17	150.00	123.69	161.90	328	1	curated	8440	167
8463	138.32	131.23	99.55	96.96	118.68	63.83	176.53	149.53	162.60	1300	1	unique-close	8463	36
8486	120.34	112.07	168.97	113.20	93.99	153.49	154.64	130.14	171.21	602	1	curated	8486	248
8509	124.13	116.99	155.20	105.28	105.88	150.54	134.94	142.24	171.83	646	1	curated	8509	189
8553	122.36	111.34	166.88	106.29	106.62	149.33	137.13	163.20	167.85	652	1	curated	8553	231
8639	129.73	122.98	146.66	112.48	94.40	83.10	158.42	152.48	168.70	1436	1	curated	8639	131
8663	119.58	111.77	169.38	89.85	93.20	104.81	152.72	157.80	170.32	1768	1	curated	8663	253
8696	128.94	120.74	149.81	118.32	103.76	75.04	139.51	158.11	168.00	1162	1	curated	8696	163
8719	123.39	116.11	157.86	103.92	108.22	145.71	137.47	149.92	167.60	452	1	curated	8719	207
8725	124.78	116.14	154.86	108.88	101.86	106.29	148.50	144.48	169.00	1210	2	curated	8725	182;219
8729	119.67	112.54	169.28	96.90	104.47	162.40	132.27	150.32	174.99	468	1	curated	8729	251
8830	129.29	121.81	149.46	115.20	89.84	139.89	136.62	128.12	214.25	804	1	curated	8830	160
8832	121.33	113.17	167.68	112.34	88.72	160.05	141.12	128.64	171.30	762	1	curated	8832	241
