label_id	max_midgut_endo	best_midgut_type	colour_midgut
10528	0.9436183019083572	clade1sub7	24-215-202-255
10529	0.7452059912889124	clade1sub7	24-215-202-255
10530	0.6578693287126001	clade1sub7	24-215-202-255
10531	0.9470374547065136	clade1sub7	24-215-202-255
10532	0.5971147167631189	clade1sub7	24-215-202-255
10533	0.9786493460473084	clade1sub7	24-215-202-255
10534	0.9455928938563471	clade1sub7	24-215-202-255
10535	0.3725400373651732	clade1sub7	24-215-202-255
10536	0.0865904845171778	clade1sub7	24-215-202-255
10537	9.062117623243535e-10	clade1sub3	70-122-242-255
10538	0.1741391922704926	clade1sub18	122-4-2-255
10539	1.922810837406612e-05	clade1sub3	70-122-242-255
10540	1.9062535276187618e-07	clade1sub3	70-122-242-255
10541	1.3866655749126385e-15	clade1sub7	24-215-202-255
10542	1.152109519690867e-07	clade1sub11	232-213-56-255
10543	1.9448499596784705e-06	clade1sub11	232-213-56-255
10544	2.4870812052391763e-11	clade1sub7	24-215-202-255
10545	2.7722483161245727e-14	clade1sub7	24-215-202-255
10546	2.499458309519137e-13	clade1sub7	24-215-202-255
10547	4.0934370187936867e-10	clade1sub14	247-113-27-255
10548	6.196613721730893e-17	clade1sub7	24-215-202-255
10549	2.928845920938552e-10	clade1sub14	247-113-27-255
10550	0.0005048164814413	clade1sub3	70-122-242-255
10551	5.3764200458894325e-05	clade1sub4	53-243-148-255
10552	1.1132581793722672e-06	clade1sub3	70-122-242-255
10553	0.0183545671940512	clade1sub3	70-122-242-255
10554	5.188250291591744e-07	clade1sub7	24-215-202-255
10555	9.409905389433931e-11	clade1sub7	24-215-202-255
10556	0.0001083887237496	clade1sub7	24-215-202-255
10557	1.4035408031873634e-07	clade1sub7	24-215-202-255
10558	2.640282109356582e-06	clade1sub3	70-122-242-255
10560	0.4663477917871959	clade1sub7	24-215-202-255
10561	0.0041118844895471	clade1sub7	24-215-202-255
10562	0.5872325671183988	clade1sub14	247-113-27-255
10563	0.3333676640370168	clade1sub3	70-122-242-255
10564	0.3975598656507053	clade1sub12	128-254-83-255
10565	0.001971978287536	clade1sub4	53-243-148-255
10566	1.989625593597711e-05	clade1sub3	70-122-242-255
10567	3.337347507194963e-08	clade1sub3	70-122-242-255
10568	3.723971621805902e-17	clade1sub7	24-215-202-255
10569	0.0004073420460911	clade1sub14	247-113-27-255
10570	3.561943983279704e-07	clade1sub14	247-113-27-255
10571	1.225805474185924e-09	clade1sub14	247-113-27-255
10572	1.7503591748164975e-09	clade1sub14	247-113-27-255
10573	2.0997391227023367e-08	clade1sub3	70-122-242-255
10574	1.5182436773336592e-09	clade1sub11	232-213-56-255
10575	1.4921796665526704e-06	clade1sub4	53-243-148-255
10576	1.2352876913585106e-07	clade1sub7	24-215-202-255
10577	0.0150644422923164	clade1sub11	232-213-56-255
10578	1.129840045427158e-05	clade1sub7	24-215-202-255
10579	0.0687035620140447	clade1sub7	24-215-202-255
10580	0.0154134301075433	clade1sub12	128-254-83-255
10581	8.503995371114296e-06	clade1sub3	70-122-242-255
10582	4.747547810687517e-09	clade1sub14	247-113-27-255
10583	1.5785734821938972e-08	clade1sub3	70-122-242-255
10584	2.734613273893726e-07	clade1sub2	51-172-246-255
10585	0.0006777438793565	clade1sub3	70-122-242-255
10586	0.0694665999582639	clade1sub3	70-122-242-255
10587	3.396998554859839e-05	clade1sub3	70-122-242-255
10588	0.0001188122954923	clade1sub12	128-254-83-255
10589	0.0456372171164015	clade1sub12	128-254-83-255
10590	1.5237156407633818e-08	clade1sub11	232-213-56-255
10591	5.6990200437562206e-08	clade1sub11	232-213-56-255
10592	1.1060075815335843e-10	clade1sub3	70-122-242-255
10593	2.9719147773986e-11	clade1sub11	232-213-56-255
10594	0.0001489807326424	clade1sub12	128-254-83-255
10595	5.882187569733639e-11	clade1sub11	232-213-56-255
10596	6.667862684883389e-06	clade1sub11	232-213-56-255
10597	2.895393165242509e-07	clade1sub11	232-213-56-255
10598	4.413852945139944e-11	clade1sub7	24-215-202-255
10599	1.2667838550489295e-09	clade1sub7	24-215-202-255
10600	2.7259135634159894e-07	clade1sub11	232-213-56-255
10601	1.0225526957829766e-11	clade1sub7	24-215-202-255
10602	2.1314076640655177e-07	clade1sub4	53-243-148-255
10603	5.787477037789777e-06	clade1sub12	128-254-83-255
10604	0.0101258973631122	clade1sub12	128-254-83-255
10605	1.5750373544129582e-07	clade1sub11	232-213-56-255
10606	9.279390052059038e-14	clade1sub7	24-215-202-255
10607	4.9363567069980416e-12	clade1sub11	232-213-56-255
10608	1.962242624758421e-05	clade1sub11	232-213-56-255
10609	0.0001349627690279	clade1sub11	232-213-56-255
10610	6.791964547583367e-10	clade1sub11	232-213-56-255
10611	4.393227908749434e-06	clade1sub3	70-122-242-255
10612	2.4289957709886113e-10	clade1sub3	70-122-242-255
10613	4.0168741793297484e-14	clade1sub3	70-122-242-255
10614	2.263250782813708e-08	clade1sub3	70-122-242-255
10615	1.1315008846487261e-08	clade1sub3	70-122-242-255
10616	0.014039840419933	clade1sub3	70-122-242-255
10617	5.35488467211231e-07	clade1sub7	24-215-202-255
10618	1.1536354991533504e-10	clade1sub7	24-215-202-255
10619	4.660935191292495e-12	clade1sub7	24-215-202-255
10620	1.0457673426607574e-10	clade1sub7	24-215-202-255
10621	2.274465815973696e-12	clade1sub7	24-215-202-255
10622	5.7972143910990776e-11	clade1sub7	24-215-202-255
10623	2.0866968711127558e-17	clade1sub7	24-215-202-255
10624	5.3649259662937366e-14	clade1sub3	70-122-242-255
10625	4.856732781173107e-05	clade1sub11	232-213-56-255
10626	0.0024232610788554	clade1sub11	232-213-56-255
10627	2.5731728065306374e-07	clade1sub4	53-243-148-255
10628	1.4854017381763352e-08	clade1sub4	53-243-148-255
10629	5.454375998309583e-12	clade1sub11	232-213-56-255
10631	4.7597965379847726e-11	clade1sub3	70-122-242-255
10632	0.001169965573491	clade1sub11	232-213-56-255
10633	1.5539986550687272e-10	clade1sub11	232-213-56-255
10634	2.602801156233777e-08	clade1sub7	24-215-202-255
10635	0.0002317863157724	clade1sub3	70-122-242-255
10636	0.0125215915413556	clade1sub11	232-213-56-255
10637	7.347724361250954e-06	clade1sub11	232-213-56-255
10638	3.091385102701445e-08	clade1sub7	24-215-202-255
10639	3.851606766209255e-11	clade1sub7	24-215-202-255
10640	6.686104491645255e-11	clade1sub7	24-215-202-255
10641	0.0113149907264201	clade1sub7	24-215-202-255
10642	1.7006833159922295e-14	clade1sub3	70-122-242-255
10643	1.7937755177043188e-12	clade1sub7	24-215-202-255
10644	0.8762337384729602	clade1sub7	24-215-202-255
10645	1.2881520158298914e-09	clade1sub7	24-215-202-255
10646	6.963718148078615e-14	clade1sub3	70-122-242-255
10647	0.9323957079893171	clade1sub7	24-215-202-255
10648	0.795522313361206	clade1sub7	24-215-202-255
10649	8.847121269737343e-07	clade1sub7	24-215-202-255
10650	0.1164223337392807	clade1sub12	128-254-83-255
10651	3.558918740146741e-07	clade1sub12	128-254-83-255
10652	4.335666411811912e-07	clade1sub7	24-215-202-255
10653	0.0120127279326784	clade1sub4	53-243-148-255
10654	1.0708831765114673e-05	clade1sub7	24-215-202-255
10655	2.8144659212048084e-05	clade1sub11	232-213-56-255
10656	1.001639763850684e-07	clade1sub7	24-215-202-255
10657	0.0001571806486103	clade1sub11	232-213-56-255
10658	1.2426673229489177e-08	clade1sub11	232-213-56-255
10659	2.3322442198483203e-06	clade1sub11	232-213-56-255
10660	1.2059119048068731e-09	clade1sub7	24-215-202-255
10661	2.3321286517930266e-08	clade1sub7	24-215-202-255
10662	1.4666717845262698e-06	clade1sub7	24-215-202-255
10663	0.0013475524735446	clade1sub18	122-4-2-255
10664	2.0100888089684807e-05	clade1sub2	51-172-246-255
10666	3.121861783655782e-09	clade1sub7	24-215-202-255
10667	4.073959898981876e-05	clade1sub7	24-215-202-255
10668	0.0009849248975523	clade1sub18	122-4-2-255
10669	2.1691792651728887e-06	clade1sub7	24-215-202-255
10670	4.970988937074406e-12	clade1sub7	24-215-202-255
10671	0.8403214367616219	clade1sub7	24-215-202-255
10672	0.8639622467371667	clade1sub7	24-215-202-255
10673	0.7726063828658263	clade1sub7	24-215-202-255
10674	0.6785848707165187	clade1sub7	24-215-202-255
10675	0.3348151667214088	clade1sub17	222-62-8-255
10676	0.4743471722428209	clade1sub17	222-62-8-255
10677	1.5950806947551618e-14	clade1sub13	180-27-1-255
10678	2.3203509869786085e-12	clade1sub13	180-27-1-255
10679	8.345370391727354e-11	clade1sub3	70-122-242-255
10681	1.0289151994226331e-10	clade1sub7	24-215-202-255
10682	5.074921205413697e-05	clade1sub11	232-213-56-255
10683	3.878081711260514e-06	clade1sub4	53-243-148-255
10684	5.528707448853165e-05	clade1sub12	128-254-83-255
10685	1.6839145551652036e-05	clade1sub7	24-215-202-255
10686	7.476090090383978e-14	clade1sub11	232-213-56-255
10687	1.602057815327873e-17	clade1sub3	70-122-242-255
10688	7.231479971936873e-14	clade1sub7	24-215-202-255
10689	4.935260766974271e-10	clade1sub11	232-213-56-255
10690	0.0015866293328584	clade1sub14	247-113-27-255
10691	3.680229116010718e-13	clade1sub11	232-213-56-255
10692	1.0179064156858333e-07	clade1sub7	24-215-202-255
10693	1.0329505992469486e-06	clade1sub14	247-113-27-255
10694	8.086788092050397e-07	clade1sub7	24-215-202-255
10695	2.3792163760173346e-15	clade1sub7	24-215-202-255
10696	1.6426493840246877e-07	clade1sub3	70-122-242-255
10697	5.347389277086894e-10	clade1sub7	24-215-202-255
10698	2.8547372645494593e-08	clade1sub7	24-215-202-255
10699	6.875329314182739e-07	clade1sub7	24-215-202-255
10700	1.1676398772836192e-11	clade1sub7	24-215-202-255
10701	2.92332665994202e-10	clade1sub13	180-27-1-255
10702	0.9868434763599216	clade1sub7	24-215-202-255
10703	0.9425221589756492	clade1sub7	24-215-202-255
10704	0.0276016483986834	clade1sub7	24-215-202-255
10705	0.9342743263956786	clade1sub7	24-215-202-255
10706	0.8854074294398444	clade1sub17	222-62-8-255
10707	0.0084240120727327	clade1sub3	70-122-242-255
10708	1.5948636102278223e-06	clade1sub11	232-213-56-255
10709	0.0494507088871809	clade1sub3	70-122-242-255
10710	1.2567631807101326e-12	clade1sub11	232-213-56-255
10711	6.26741341689133e-09	clade1sub3	70-122-242-255
10712	5.741590735621264e-09	clade1sub3	70-122-242-255
10713	3.909512482528741e-09	clade1sub3	70-122-242-255
10714	2.194601012255029e-11	clade1sub7	24-215-202-255
10715	2.5398792681590466e-15	clade1sub7	24-215-202-255
10716	0.0651689629376962	clade1sub3	70-122-242-255
10717	2.2882693346445411e-10	clade1sub17	222-62-8-255
10718	0.000322459204685	clade1sub7	24-215-202-255
10719	1.2511996895351254e-08	clade1sub14	247-113-27-255
10720	7.857601540796908e-07	clade1sub7	24-215-202-255
10721	7.093589837919478e-05	clade1sub7	24-215-202-255
10722	1.2010320640780086e-06	clade1sub3	70-122-242-255
10724	2.6099561221709426e-08	clade1sub3	70-122-242-255
10726	5.82588572889525e-06	clade1sub7	24-215-202-255
10727	2.1148807665289088e-12	clade1sub3	70-122-242-255
10728	3.558350266567559e-05	clade1sub7	24-215-202-255
10729	0.0015865405171751	clade1sub7	24-215-202-255
10730	0.0417731121718965	clade1sub3	70-122-242-255
10731	0.0001826928270828	clade1sub3	70-122-242-255
10732	3.169932136781377e-09	clade1sub3	70-122-242-255
10733	7.731194438209636e-10	clade1sub3	70-122-242-255
10734	0.0005787990307686	clade1sub13	180-27-1-255
10735	4.479535229550232e-05	clade1sub19	187-244-52-255
10736	2.5651935612627502e-05	clade1sub11	232-213-56-255
10737	0.0525649278860421	clade1sub11	232-213-56-255
10738	0.0575247987419887	clade1sub12	128-254-83-255
10739	5.289313026720338e-06	clade1sub11	232-213-56-255
10740	4.760038125688161e-09	clade1sub11	232-213-56-255
10741	4.94041002046022e-07	clade1sub14	247-113-27-255
10742	1.1626180830172258e-06	clade1sub11	232-213-56-255
10743	3.6482463696984772e-09	clade1sub7	24-215-202-255
10744	4.7005357208142126e-14	clade1sub7	24-215-202-255
10745	1.6637624428499612e-11	clade1sub7	24-215-202-255
10746	3.0238083683171396e-09	clade1sub7	24-215-202-255
10747	3.8689547181833717e-16	clade1sub7	24-215-202-255
10748	6.358965066306231e-11	clade1sub7	24-215-202-255
10749	2.731902260253913e-15	clade1sub3	70-122-242-255
10750	1.1918277833242578e-13	clade1sub7	24-215-202-255
10751	6.405352141498486e-15	clade1sub7	24-215-202-255
10752	1.3790577921827624e-06	clade1sub7	24-215-202-255
10753	3.388686796711708e-09	clade1sub7	24-215-202-255
10754	3.4273889818184925e-17	clade1sub3	70-122-242-255
10755	3.1430057630591657e-15	clade1sub7	24-215-202-255
10756	2.7176177835433965e-06	clade1sub11	232-213-56-255
10757	0.1629798540362066	clade1sub11	232-213-56-255
10758	0.0138388232352928	clade1sub11	232-213-56-255
10759	0.0189814878701509	clade1sub12	128-254-83-255
10760	1.1771788631183892e-11	clade1sub7	24-215-202-255
10761	0.0258282469667844	clade1sub11	232-213-56-255
10762	5.338922808942102e-09	clade1sub11	232-213-56-255
10763	8.95953796892628e-06	clade1sub7	24-215-202-255
10764	8.518480827505714e-05	clade1sub7	24-215-202-255
10765	6.199925367493451e-09	clade1sub11	232-213-56-255
10766	7.121624716854206e-13	clade1sub11	232-213-56-255
10767	0.0350740422263274	clade1sub12	128-254-83-255
10768	1.0913766930057607e-07	clade1sub11	232-213-56-255
10769	9.060036439479382e-06	clade1sub7	24-215-202-255
10770	9.361046962795339e-10	clade1sub7	24-215-202-255
10771	1.0663836590532932e-13	clade1sub12	128-254-83-255
10772	6.462487213459091e-06	clade1sub12	128-254-83-255
10773	0.0052855867393807	clade1sub3	70-122-242-255
10774	4.566320910107104e-13	clade1sub3	70-122-242-255
10775	1.1883774026957537e-14	clade1sub3	70-122-242-255
10776	7.782974464882519e-16	clade1sub7	24-215-202-255
10777	7.604838113241861e-17	clade1sub3	70-122-242-255
10778	3.3908300826661024e-12	clade1sub3	70-122-242-255
10779	1.0453270741420308e-14	clade1sub7	24-215-202-255
10780	1.2997348080738377e-17	clade1sub3	70-122-242-255
10781	4.444455941069565e-09	clade1sub7	24-215-202-255
10782	1.0959227367997347e-09	clade1sub7	24-215-202-255
10783	0.0002284281707058	clade1sub7	24-215-202-255
10784	9.746219131530183e-11	clade1sub7	24-215-202-255
10785	1.1695900173345804e-07	clade1sub7	24-215-202-255
10786	8.036880123416197e-10	clade1sub7	24-215-202-255
10787	2.150287605159535e-05	clade1sub7	24-215-202-255
10788	0.0039893558896983	clade1sub7	24-215-202-255
10789	1.0475542024842424e-13	clade1sub7	24-215-202-255
10790	3.384517815299845e-12	clade1sub13	180-27-1-255
10791	0.9949672708718788	clade1sub7	24-215-202-255
10792	0.0063565764531771	clade1sub7	24-215-202-255
10793	6.863292186983683e-10	clade1sub3	70-122-242-255
10794	1.0108764173632015e-05	clade1sub7	24-215-202-255
10795	8.704110373918533e-15	clade1sub7	24-215-202-255
10796	0.3526973120349206	clade1sub11	232-213-56-255
10797	0.2322283435015505	clade1sub12	128-254-83-255
10798	6.493894988504467e-06	clade1sub11	232-213-56-255
10799	0.0006486886660192	clade1sub11	232-213-56-255
10800	0.0111599118821336	clade1sub11	232-213-56-255
10801	0.0109971464093161	clade1sub11	232-213-56-255
10802	0.0164994339333157	clade1sub11	232-213-56-255
10803	0.0898772876515594	clade1sub11	232-213-56-255
10804	9.851846424438055e-07	clade1sub7	24-215-202-255
10805	7.473890806569385e-11	clade1sub7	24-215-202-255
10806	7.122599264451858e-08	clade1sub7	24-215-202-255
10807	4.681182334857953e-07	clade1sub7	24-215-202-255
10808	7.686009667883234e-15	clade1sub3	70-122-242-255
10809	4.114083712248722e-05	clade1sub7	24-215-202-255
10810	0.8641705709564191	clade1sub7	24-215-202-255
10811	0.3353940111111441	clade1sub7	24-215-202-255
10812	0.2707178280189299	clade1sub3	70-122-242-255
10813	0.9779206452532648	clade1sub7	24-215-202-255
10814	0.9875421444240574	clade1sub7	24-215-202-255
10815	0.9645594145978064	clade1sub7	24-215-202-255
10816	6.27358076843165e-09	clade1sub7	24-215-202-255
10817	1.418621039555327e-07	clade1sub7	24-215-202-255
10818	0.0139913585729168	clade1sub12	128-254-83-255
10819	7.803266165464872e-16	clade1sub17	222-62-8-255
10820	2.0264947842633285e-13	clade1sub7	24-215-202-255
10821	6.73072694193078e-13	clade1sub7	24-215-202-255
10822	5.798281840750637e-10	clade1sub3	70-122-242-255
10823	7.73684105562091e-05	clade1sub7	24-215-202-255
10824	1.101020681416894e-09	clade1sub3	70-122-242-255
10825	8.408734215690598e-09	clade1sub7	24-215-202-255
10826	1.2239299273021878e-10	clade1sub7	24-215-202-255
10827	3.011254873492929e-10	clade1sub7	24-215-202-255
10828	7.113262519343383e-10	clade1sub7	24-215-202-255
10829	4.894097840060592e-09	clade1sub7	24-215-202-255
10830	6.611456393365633e-11	clade1sub7	24-215-202-255
10831	2.2982672140505845e-12	clade1sub7	24-215-202-255
10832	0.947319803880336	clade1sub7	24-215-202-255
10833	0.5849298349215473	clade1sub7	24-215-202-255
10834	0.2887085707311912	clade1sub7	24-215-202-255
10835	0.1783220638441378	clade1sub7	24-215-202-255
10836	0.4444984554444373	clade1sub18	122-4-2-255
10837	0.7041170599931624	clade1sub7	24-215-202-255
10838	1.8347371731404704e-05	clade1sub11	232-213-56-255
10839	2.927346901985195e-12	clade1sub3	70-122-242-255
10840	6.687089859381083e-17	clade1sub7	24-215-202-255
10841	2.640971726041527e-09	clade1sub3	70-122-242-255
10842	8.764040628639678e-11	clade1sub3	70-122-242-255
10843	8.00556191520914e-08	clade1sub12	128-254-83-255
10844	6.588050432107107e-13	clade1sub7	24-215-202-255
10845	7.969480987198433e-10	clade1sub17	222-62-8-255
10846	4.5286937559031826e-15	clade1sub7	24-215-202-255
10847	5.2432614933106754e-08	clade1sub3	70-122-242-255
10848	6.4906193030885176e-12	clade1sub3	70-122-242-255
10849	5.344697898426955e-08	clade1sub12	128-254-83-255
10850	1.916162399239358e-16	clade1sub3	70-122-242-255
10851	0.0005211474132566	clade1sub3	70-122-242-255
10852	6.478821543830097e-13	clade1sub7	24-215-202-255
10853	7.172654769763183e-10	clade1sub3	70-122-242-255
