label_id	max_midgut_endo	best_midgut_type	colour_midgut
10908	0.0011011665062843	clade1sub7	24-215-202-255
10909	4.082040577116709e-11	clade1sub7	24-215-202-255
10910	0.989511052438818	clade1sub7	24-215-202-255
10911	1.1491279526615324e-11	clade1sub7	24-215-202-255
10912	0.9712931925361842	clade1sub7	24-215-202-255
10913	5.0648835115822016e-05	clade1sub7	24-215-202-255
10914	0.8831069916248468	clade1sub7	24-215-202-255
10915	3.2149723475923286e-10	clade1sub7	24-215-202-255
10916	2.279902762057575e-08	clade1sub7	24-215-202-255
10917	6.532024871666254e-11	clade1sub7	24-215-202-255
10918	0.9129834453843632	clade1sub7	24-215-202-255
10919	0.999529110823271	clade1sub7	24-215-202-255
10920	1.2336831604367966e-14	clade1sub7	24-215-202-255
10921	5.574962269355203e-10	clade1sub7	24-215-202-255
10922	3.7036602813332213e-07	clade1sub7	24-215-202-255
10923	4.4996365978149624e-09	clade1sub7	24-215-202-255
10924	3.3408550446522506e-05	clade1sub7	24-215-202-255
10925	1.6866976587062392e-09	clade1sub7	24-215-202-255
10926	0.0001241489095843	clade1sub4	53-243-148-255
10927	1.2956488832388504e-14	clade1sub7	24-215-202-255
10928	0.0040237170523232	clade1sub4	53-243-148-255
10929	0.0263824882363023	clade1sub11	232-213-56-255
10930	0.0340348108073116	clade1sub19	187-244-52-255
10931	0.0330507082767361	clade1sub12	128-254-83-255
10932	0.0077200259035673	clade1sub12	128-254-83-255
